,info,date,rating,title
0,"Verified User
          현직원 · E***** · 마케팅·홍보 전문가 - 2023.11.07",2023.11.07,Rating Score2.0,내가 발전할 수 없는 회사
1,"Verified User
          현직원 · h******** · 상품기획·MD·디자이너 - 2023.11.15",2023.11.15,Rating Score5.0,괜찮은 회사
2,"Verified User
          현직원 · G******* · 마케팅·홍보 전문가 - 2023.11.10",2023.11.10,Rating Score3.0,오래 있기 어려운 곳
3,"Verified User
          현직원 · X***** · IT 엔지니어 - 2023.11.06",2023.11.06,Rating Score2.0,위태로운 회사
4,"Verified User
          현직원 · z******** · 상품기획·MD·디자이너 - 2023.11.03",2023.11.03,Rating Score2.0,적당한 급여 / 적당히 다니기 괜찮은 곳
5,"Verified User
          현직원 · k***** · 상품기획·MD·디자이너 - 2023.11.03",2023.11.03,Rating Score3.0,"복지가 좋다, 복지가 좋다, 복지가..."
6,"Verified User
          현직원 · 비**** · 상품기획·MD·디자이너 - 2023.11.03",2023.11.03,Rating Score4.0,복지가 좋은 회사
7,"Verified User
          현직원 · o***** · 상품기획·MD·디자이너 - 2023.11.03",2023.11.03,Rating Score3.0,하기에 따라 좋을 수도 안 좋을 수도 있는 회사 
8,"Verified User
          현직원 · c******* · IT 엔지니어 - 2023.11.02",2023.11.02,Rating Score3.0,워라밸이 보장되는 회사
9,"Verified User
          현직원 · t******* · 경영지원·관리 전문가 - 2023.11.01",2023.11.01,Rating Score2.0,안주하고 싶으면 남아있을 회사
10,"Verified User
          현직원 · 민** · 마케팅·홍보 전문가 - 2023.10.31",2023.10.31,Rating Score4.0,자유로운 회사
11,"Verified User
          현직원 · S***** · 상품기획·MD·디자이너 - 2023.10.27",2023.10.27,Rating Score4.0,적응하면 다닐만한 곳
12,"Verified User
          현직원 · Y***** · 마케팅·홍보 전문가 - 2023.10.27",2023.10.27,Rating Score4.0,복지 좋은 회사
13,"Verified User
          현직원 · M***** · IT 엔지니어 - 2023.10.27",2023.10.27,Rating Score5.0,커리어와 워라밸이 보장되는 회사
14,"Verified User
          현직원 · N***** · 경영전략·사업기획·분석전문가 - 2023.10.26",2023.10.26,Rating Score2.0,"과거의 영광은 운이었을까,라는 생각이 많이 든다"
15,"Verified User
          현직원 · k****** · 영업 전문가 - 2023.10.26",2023.10.26,Rating Score5.0,딱히 불만이 없는 회사
16,"Verified User
          현직원 · j******** · 경영전략·사업기획·분석전문가 - 2023.10.25",2023.10.25,Rating Score5.0,커리어 향상이 보장되는 회사
17,"Verified User
          현직원 · d***** · IT 디자이너 - 2023.10.25",2023.10.25,Rating Score2.0,장점 빼고 다 단점
18,"Verified User
          현직원 · i********* · 경영지원·관리 전문가 - 2023.10.24",2023.10.24,Rating Score4.0,워라밸 보장 회사
19,"Verified User
          현직원 · s***** · 경영지원·관리 전문가 - 2023.10.23",2023.10.23,Rating Score4.0,그냥저냥 다니기엔 나쁘지 않음
20,"Verified User
          현직원 · I******* · 마케팅·홍보 전문가 - 2023.10.23",2023.10.23,Rating Score5.0,생각보다 평화로움
21,"Verified User
          현직원 · j***** · IT 디자이너 - 2023.10.22",2023.10.22,Rating Score3.0,워라밸은 좋음
22,"Verified User
          현직원 · 아*** · 마케팅·홍보 전문가 - 2023.10.20",2023.10.20,Rating Score4.0,장점과 단점이 극명한 회사
23,"Verified User
          현직원 · C***** · 해외영업·사업개발·마케팅 - 2023.10.19",2023.10.19,Rating Score3.0,장단점 다 있음
24,"Verified User
          현직원 · 궁**** · 경영지원·관리 전문가 - 2023.10.18",2023.10.18,Rating Score3.0,경영진이 젊어지고 있는 회사
25,"Verified User
          현직원 · R***** · 경영전략·사업기획·분석전문가 - 2023.10.17",2023.10.17,Rating Score3.0,예전만 하지 못한 회사
26,"Verified User
          현직원 · 1******** · IT 기획·매니지먼트 전문가 - 2023.10.16",2023.10.16,Rating Score2.0,바쁜 사람만 바쁜 곳
27,"Verified User
          현직원 · f***** · IT 엔지니어 - 2023.10.14",2023.10.14,Rating Score5.0,경영진 변경으로 과도기 
28,"Verified User
          현직원 · 1********* · IT 엔지니어 - 2023.10.12",2023.10.12,Rating Score5.0,생각보다 훌륭한 회사
29,"Verified User
          현직원 · n***** · 경영전략·사업기획·분석전문가 - 2023.10.11",2023.10.11,Rating Score3.0,"워라밸은 팀 버팀, 배우고자 하는 의지가 있으면 성장할 수 있지만 지금 분위기는 아무것도 하지 말고 숨만 쉬라는 분위기"
