,info,date,rating,title
0,"Verified User
          현직원 · E**** · 연구개발(R&D) - 2023.08.10",2023.08.10,Rating Score2.0,“노가다 하고싶으면 오세요”
1,"Verified User
          현직원 · P***** · 경영지원·관리 전문가 - 2023.11.27",2023.11.27,Rating Score1.0,“바깥의 이미지와 속 이미지가 다른 회사”
2,"Verified User
          현직원 · q***** · 연구개발(R&D) - 2023.11.27",2023.11.27,Rating Score5.0,“워라밸 좋은 회사”
3,"Verified User
          현직원 · 불** · 연구개발(R&D) - 2023.11.25",2023.11.25,Rating Score3.0,“경영진 바뀌고 미래를 모르겠음”
4,"Verified User
          현직원 · b******** · 연구개발(R&D) - 2023.11.24",2023.11.24,Rating Score5.0,“분위기 좋은회사”
5,"Verified User
          현직원 · M***** · 생산엔지니어·생산관리 - 2023.11.22",2023.11.22,Rating Score4.0,“점점 개선되는 회사”
6,"Verified User
          현직원 · 꼬*** · 연구개발(R&D) - 2023.11.22",2023.11.22,Rating Score4.0,“나쁘지 않음”
7,"Verified User
          현직원 · f********* · 연구개발(R&D) - 2023.11.21",2023.11.21,Rating Score4.0,“워크로드 팀바팀/지역에 따라 강한듯. ”
8,"Verified User
          현직원 · l******* · 품질관리·보증 전문가 - 2023.11.20",2023.11.20,Rating Score3.0,“워라밸이 보장되는 편”
9,"Verified User
          현직원 · j********* · 생산엔지니어·생산관리 - 2023.11.19",2023.11.19,Rating Score4.0,“미래가 밝았던 회사...”
10,"Verified User
          현직원 · f********* · 연구개발(R&D) - 2023.11.18",2023.11.18,Rating Score4.0,“회사가 너무 빠른속도로 성장하여 내실이 부족함 ”
11,"Verified User
          현직원 · f***** · 구매·물류·SCM 전문가 - 2023.11.17",2023.11.17,Rating Score3.0,“덩치는 커졌으나 아직 규모에 맞는 안정화그 안됨”
12,"Verified User
          현직원 · B***** · 연구개발(R&D) - 2023.11.17",2023.11.17,Rating Score4.0,“워라밸이 조장 되도록 바뀌어 가는 중. CEO바뀌면어찌 변할지 모름”
13,"Verified User
          현직원 · g***** · 생산엔지니어·생산관리 - 2023.11.17",2023.11.17,Rating Score5.0,“좋음”
14,"Verified User
          현직원 · f***** · 품질관리·보증 전문가 - 2023.11.16",2023.11.16,Rating Score3.0,“워라밸은 보장되나 급여가 짬”
15,"Verified User
          현직원 · ㅣ******** · 연구개발(R&D) - 2023.11.15",2023.11.15,Rating Score3.0,“워라밸 좋다”
16,"Verified User
          현직원 · q***** · 품질관리·보증 전문가 - 2023.11.14",2023.11.14,Rating Score5.0,“팀바팀 있지만 팀만 잘 만나면 괜찮음”
17,"Verified User
          현직원 · m***** · 경영전략·사업기획·분석전문가 - 2023.11.14",2023.11.14,Rating Score1.0,“특정 부서/일하는 직원만 죽어나감”
18,"Verified User
          현직원 · 파*** · 생산엔지니어·생산관리 - 2023.11.14",2023.11.14,Rating Score4.0,“성장가능성이 있는 회사”
19,"Verified User
          현직원 · k***** · 생산엔지니어·생산관리 - 2023.11.10",2023.11.10,Rating Score4.0,“팀바팀 좋은 회사”
20,"Verified User
          현직원 · a****** · 연구개발(R&D) - 2023.11.10",2023.11.10,Rating Score3.0,“진리의 부바부”
21,"Verified User
          현직원 · 공****** · 생산엔지니어·생산관리 - 2023.11.09",2023.11.09,Rating Score4.0,“워라벨이 보장되는회사[?]”
22,"Verified User
          현직원 · d***** · 고객서비스 전문가 - 2023.11.09",2023.11.09,Rating Score5.0,“향후10년은 먹거리 문제 없을 회사”
23,"Verified User
          현직원 · !******** · 생산엔지니어·생산관리 - 2023.11.09",2023.11.09,Rating Score4.0,“제조업 한정 자유로운 조직문화”
24,"Verified User
          현직원 · 프***** · 연구개발(R&D) - 2023.11.08",2023.11.08,Rating Score3.0,"“워라벨은 좋다, 하지만 팀바팀”"
25,"Verified User
          현직원 · E***** · 생산엔지니어·생산관리 - 2023.11.07",2023.11.07,Rating Score3.0,“워라백 폭망”
26,"Verified User
          현직원 · e****** · 생산엔지니어·생산관리 - 2023.11.05",2023.11.05,Rating Score1.0,“조직개편에만 몰두하는 회사”
27,"Verified User
          현직원 · t***** · 생산엔지니어·생산관리 - 2023.11.03",2023.11.03,Rating Score4.0,“회사의 성장이 보임”
28,"Verified User
          현직원 · e****** · 생산엔지니어·생산관리 - 2023.11.03",2023.11.03,Rating Score4.0,“그럭저럭 괜찮은 회사”
29,"Verified User
          현직원 · v***** · 생산엔지니어·생산관리 - 2023.11.03",2023.11.03,Rating Score4.0,“미래가 기대되는 회사”
30,"Verified User
          현직원 · E***** · 경영지원·관리 전문가 - 2023.11.03",2023.11.03,Rating Score1.0,“부바부 너무 심각”
31,"Verified User
          현직원 · C***** · 생산엔지니어·생산관리 - 2023.11.02",2023.11.02,Rating Score5.0,“워라벨 보장”
32,"Verified User
          현직원 · 근**** · 연구개발(R&D) - 2023.11.02",2023.11.02,Rating Score3.0,“조직문화를 많이 신경쓰는 회사”
33,"Verified User
          현직원 · W***** · IT 엔지니어 - 2023.11.01",2023.11.01,Rating Score5.0,“워라밸은 매우 좋다”
34,"Verified User
          현직원 · E***** · 마케팅·홍보 전문가 - 2023.10.31",2023.10.31,Rating Score5.0,“조직문화는 원탑”
35,"Verified User
          현직원 · A***** · 품질관리·보증 전문가 - 2023.10.29",2023.10.29,Rating Score4.0,“성장이 기대되는 회사”
36,"Verified User
          현직원 · A***** · 연구개발(R&D) - 2023.10.29",2023.10.29,Rating Score1.0,“일이 힘든 부서는 더욱 더 힘들어지는 회사”
37,"Verified User
          현직원 · 오***** · 경영지원·관리 전문가 - 2023.10.27",2023.10.27,Rating Score3.0,“불경기 속에서 적게 받지만 오래 갈 수 있다고 생각함”
38,"Verified User
          현직원 · R***** · 경영지원·관리 전문가 - 2023.10.27",2023.10.27,Rating Score5.0,“최선을 다하는 기업”
39,"Verified User
          현직원 · t******* · 생산엔지니어·생산관리 - 2023.10.25",2023.10.25,Rating Score3.0,“워라벨 보장”
40,"Verified User
          현직원 · h****** · 생산엔지니어·생산관리 - 2023.10.25",2023.10.25,Rating Score5.0,“성장하는 회사”
41,"Verified User
          현직원 · E******* · 경영지원·관리 전문가 - 2023.10.24",2023.10.24,Rating Score5.0,“조직문화가 유연한 회사 어려도 존중받는 회사”
42,"Verified User
          현직원 · x******** · 마케팅·홍보 전문가 - 2023.10.24",2023.10.24,Rating Score3.0,“많은 경험을 할 수 있고 복지는 개선되고 있으나 연봉은 아쉬움”
43,"Verified User
          현직원 · g***** · 연구개발(R&D) - 2023.10.24",2023.10.24,Rating Score4.0,“성장하지만 나는 안하는 회사”
44,"Verified User
          현직원 · a***** · 생산엔지니어·생산관리 - 2023.10.23",2023.10.23,Rating Score4.0,“워라밸이 좋은 회사”
45,"Verified User
          현직원 · :****** · 연구개발(R&D) - 2023.10.23",2023.10.23,Rating Score5.0,“극강의 워라벨과 젊은 조직”
46,"Verified User
          현직원 · 광******* · 연구개발(R&D) - 2023.10.22",2023.10.22,Rating Score4.0,“무능한 경영진과 침몰하는 배”
47,"Verified User
          현직원 · e***** · 연구개발(R&D) - 2023.10.21",2023.10.21,Rating Score3.0,“성장하는 회사”
48,"Verified User
          현직원 · S******** · 마케팅·홍보 전문가 - 2023.10.20",2023.10.20,Rating Score4.0,“경영진이 빌런임”
49,"Verified User
          현직원 · z***** · 연구개발(R&D) - 2023.10.19",2023.10.19,Rating Score4.0,“조직문화가 자유로운 회사”
50,"Verified User
          현직원 · 아**** · 생산엔지니어·생산관리 - 2023.10.18",2023.10.18,Rating Score5.0,“워래밸은 좋다”
51,"Verified User
          현직원 · N***** · 생산엔지니어·생산관리 - 2023.10.18",2023.10.18,Rating Score4.0,“워라벨이 보장되긴 하는데 부바부인듯”
52,"Verified User
          현직원 · o*** · 연구개발(R&D) - 2023.10.16",2023.10.16,Rating Score4.0,“실력쌓기좋고 좋은 분위기”
53,"Verified User
          현직원 · K***** · 경영전략·사업기획·분석전문가 - 2023.10.14",2023.10.14,Rating Score4.0,“성장하는 회사”
54,"Verified User
          현직원 · 대**** · 해외영업·사업개발·마케팅 - 2023.10.14",2023.10.14,Rating Score5.0,“성장하는 산업군의 경험이 풍부한 회사”
55,"Verified User
          현직원 · b*** · 연구개발(R&D) - 2023.10.13",2023.10.13,Rating Score5.0,“젊은조직의 성장가능성 높은 회사”
56,"Verified User
          현직원 · i********* · 경영전략·사업기획·분석전문가 - 2023.10.11",2023.10.11,Rating Score4.0,“스타트업 같은 대기업”
57,"Verified User
          현직원 · K***** · 연구개발(R&D) - 2023.10.11",2023.10.11,Rating Score3.0,“분위기는 좋은 회사”
58,"Verified User
          현직원 · 엔*** · 연구개발(R&D) - 2023.10.11",2023.10.11,Rating Score5.0,“분위기가 긍정적으로 많이 바뀌는 추세. ”
59,"Verified User
          현직원 · e******* · 생산엔지니어·생산관리 - 2023.10.09",2023.10.09,Rating Score5.0,“s사들과 비교 되지만 충분히 멋진 회사”
60,"Verified User
          현직원 · i********* · IT 엔지니어 - 2023.10.07",2023.10.07,Rating Score4.0,“케바케회사”
61,"Verified User
          현직원 · 무** · 연구개발(R&D) - 2023.10.07",2023.10.07,Rating Score4.0,“충분히 괜찮은 회사”
62,"Verified User
          현직원 · v***** · 연구개발(R&D) - 2023.10.06",2023.10.06,Rating Score4.0,“젊고 MZ스러운 시총 2위 스타트업”
63,"Verified User
          현직원 · 폴**** · 생산엔지니어·생산관리 - 2023.10.05",2023.10.05,Rating Score4.0,"“커리어는 쌓기 나름, 조직문화는 탑, 그에비해 짠 봉급”"
64,"Verified User
          현직원 · Q***** · IT 기획·매니지먼트 전문가 - 2023.10.04",2023.10.04,Rating Score5.0,“직원들을 생각하는 회사”
65,"Verified User
          현직원 · m******* · 연구개발(R&D) - 2023.10.04",2023.10.04,Rating Score4.0,"“젊은 문화, 체계는 아직 없지만 기회가 있는 회사”"
66,"Verified User
          현직원 · D********* · 생산엔지니어·생산관리 - 2023.10.03",2023.10.03,Rating Score5.0,"“미래비전, 문화때매 있는회사”"
67,"Verified User
          현직원 · 에*** · 생산엔지니어·생산관리 - 2023.10.03",2023.10.03,Rating Score5.0,“워라벨 좋고 분위기 좋은 회사”
68,"Verified User
          현직원 · o***** · IT 엔지니어 - 2023.10.02",2023.10.02,Rating Score4.0,“워라벨 좋음”
69,"Verified User
          현직원 · l********* · 회계·세무·재무 전문가 - 2023.10.01",2023.10.01,Rating Score4.0,“조직문화는 좋으나 추천이 어려운 회사”
70,"Verified User
          현직원 · j***** · IT 엔지니어 - 2023.09.30",2023.09.30,Rating Score3.0,“젊은 회사”
71,"Verified User
          현직원 · D****** · 연구개발(R&D) - 2023.09.30",2023.09.30,Rating Score5.0,“이상적에 가까운 회사”
72,"Verified User
          현직원 · 집* · 연구개발(R&D) - 2023.09.28",2023.09.28,Rating Score4.0,“워라밸 및 사내문화가 좋다.”
73,"Verified User
          현직원 · H***** · 연구개발(R&D) - 2023.09.28",2023.09.28,Rating Score5.0,“업계 1위 회사”
74,"Verified User
          현직원 · L**** · 생산엔지니어·생산관리 - 2023.09.28",2023.09.28,Rating Score5.0,“엔솔이 1년차👶”
75,"Verified User
          현직원 · 1******** · 생산엔지니어·생산관리 - 2023.09.26",2023.09.26,Rating Score3.0,“밝은 미래전망을 가진 산업군의 선두그룹에 속해있지만 lg인 회사”
76,"Verified User
          현직원 · g******** · 연구개발(R&D) - 2023.09.26",2023.09.26,Rating Score4.0,“조직개편 잦은만큼 하고 싶은일로 언제든지 바꿀 수 있는 회사”
