,info,date,rating,title
0,"Verified User
          현직원 · U***** · IT 엔지니어 - 2023.11.16",2023.11.16,Rating Score2.0,“워라밸 보장안되는 회사”
1,"Verified User
          현직원 · V***** · 연구개발(R&D) - 2023.11.27",2023.11.27,Rating Score3.0,“중간만 하면 편하게 다님”
2,"Verified User
          현직원 · I********* · 경영전략·사업기획·분석전문가 - 2023.11.25",2023.11.25,Rating Score5.0,“워라벨 보장”
3,"Verified User
          현직원 · s******** · 연구개발(R&D) - 2023.11.24",2023.11.24,Rating Score4.0,“그냥저냥 괜찮음”
4,"Verified User
          현직원 · O******* · 품질관리·보증 전문가 - 2023.11.22",2023.11.22,Rating Score4.0,“든든한 엘무원”
5,"Verified User
          현직원 · 신*** · 생산엔지니어·생산관리 - 2023.11.22",2023.11.22,Rating Score4.0,“폴리머 생산직 기준”
6,"Verified User
          현직원 · u***** · 생산엔지니어·생산관리 - 2023.11.21",2023.11.21,Rating Score3.0,“그냥저냥”
7,"Verified User
          현직원 · 운******* · 경영전략·사업기획·분석전문가 - 2023.11.21",2023.11.21,Rating Score4.0,“대리급이라면 어떻게 포지션을 취하냐에 따라 성장 가능”
8,"Verified User
          현직원 · h****** · 영업 전문가 - 2023.11.20",2023.11.20,Rating Score4.0,“미래가 어두운 굴지의 대기업”
9,"Verified User
          현직원 · n***** · 경영지원·관리 전문가 - 2023.11.20",2023.11.20,Rating Score3.0,“오지마십쇼”
10,"Verified User
          현직원 · 1******* · 연구개발(R&D) - 2023.11.19",2023.11.19,Rating Score4.0,“뭐하나씩 빠져있는 대기업”
11,"Verified User
          현직원 · a******** · 고객서비스 전문가 - 2023.11.19",2023.11.19,Rating Score3.0,“워라벨이 보장되는 회사”
12,"Verified User
          현직원 · m***** · 구매·물류·SCM 전문가 - 2023.11.19",2023.11.19,Rating Score3.0,“중간..”
13,"Verified User
          현직원 · Q***** · 생산엔지니어·생산관리 - 2023.11.19",2023.11.19,Rating Score3.0,“우ㅗ라벨 없는 회사”
14,"Verified User
          현직원 · i******** · 연구개발(R&D) - 2023.11.18",2023.11.18,Rating Score3.0,“팀바팀 팀장바이팀장”
15,"Verified User
          현직원 · A***** · 해외영업·사업개발·마케팅 - 2023.11.18",2023.11.18,Rating Score3.0,“미래가 밝지 않은 회사”
16,"Verified User
          현직원 · G******* · 연구개발(R&D) - 2023.11.18",2023.11.18,Rating Score3.0,“경영진과 노조가 말아먹는 회사”
17,"Verified User
          현직원 · 회**** · 생산엔지니어·생산관리 - 2023.11.17",2023.11.17,Rating Score3.0,“성장하긴 좋은데...”
18,"Verified User
          현직원 · 1********* · 구매·물류·SCM 전문가 - 2023.11.17",2023.11.17,Rating Score3.0,"“워라벨 보장 부바부, 조직이 이상하지만 회사 규모는 큼”"
19,"Verified User
          현직원 · |********* · 연구개발(R&D) - 2023.11.17",2023.11.17,Rating Score5.0,“엘무원을 원하는가? 와라!”
20,"Verified User
          현직원 · i********* · 생산엔지니어·생산관리 - 2023.11.16",2023.11.16,Rating Score4.0,“공장 엔지니어로서 배울수 있는 곳”
21,"Verified User
          현직원 · t****** · 상품기획·MD·디자이너 - 2023.11.13",2023.11.13,Rating Score3.0,“워라밸 좋으나 미래 불투명”
22,"Verified User
          현직원 · I********* · 하드웨어 엔지니어 - 2023.11.11",2023.11.11,Rating Score3.0,“엘무원”
23,"Verified User
          현직원 · l********* · 생산엔지니어·생산관리 - 2023.11.10",2023.11.10,Rating Score1.0,“유일한 장점 4조2교대”
24,"Verified User
          현직원 · M***** · 영업 전문가 - 2023.11.10",2023.11.10,Rating Score5.0,“최근사업이 어렵다”
25,"Verified User
          현직원 · e***** · 경영전략·사업기획·분석전문가 - 2023.11.08",2023.11.08,Rating Score3.0,“규모가 커서 존재감 작게 다니기 좋은 곳”
26,"Verified User
          현직원 · !******** · 경영전략·사업기획·분석전문가 - 2023.11.07",2023.11.07,Rating Score3.0,“근무지 및 부서별로 차이가 매우 심함 ”
27,"Verified User
          현직원 · e******* · 구매·물류·SCM 전문가 - 2023.11.04",2023.11.04,Rating Score1.0,“엘무원이 판 치는곳”
28,"Verified User
          현직원 · j****** · 품질관리·보증 전문가 - 2023.11.04",2023.11.04,Rating Score4.0,“꼰대 문화가 없고 이정도면 만족합니다”
29,"Verified User
          현직원 · I********* · 생산엔지니어·생산관리 - 2023.11.04",2023.11.04,Rating Score4.0,"“많은것을 할 수 있는 회사, 다만 관리의 관리가 맹점”"
30,"Verified User
          현직원 · l******** · 생산엔지니어·생산관리 - 2023.11.04",2023.11.04,Rating Score3.0,“물경력이지만 급여는 괜츈”
31,"Verified User
          현직원 · 야****** · 생산엔지니어·생산관리 - 2023.11.03",2023.11.03,Rating Score3.0,“사고치지 않으면 평생직장이 가능한 회사”
32,"Verified User
          현직원 · L***** · 경영지원·관리 전문가 - 2023.11.01",2023.11.01,Rating Score2.0,“큰 사고만 없다면 장기근속이 가능한 회사”
33,"Verified User
          현직원 · 🐓**** · 환경·안전·보건 전문가 - 2023.11.01",2023.11.01,Rating Score3.0,“그냥저냥 다니기 좋은회사”
34,"Verified User
          현직원 · 0******** · 연구개발(R&D) - 2023.11.01",2023.11.01,Rating Score3.0,“대기업이긴 하다. 근데 느리다. 이리저리 재다 끝남. 리더들이 모두 같은 색깔”
35,"Verified User
          현직원 · j****** · 생산엔지니어·생산관리 - 2023.10.31",2023.10.31,Rating Score4.0,“공장만 안가면 굿”
36,"Verified User
          현직원 · N***** · 구매·물류·SCM 전문가 - 2023.10.31",2023.10.31,Rating Score4.0,“플렉스 타임 하나는 기가막힘”
37,"Verified User
          현직원 · s********* · 생산엔지니어·생산관리 - 2023.10.30",2023.10.30,Rating Score3.0,“기본이.탄탄한회사”
38,"Verified User
          현직원 · 글****** · 연구개발(R&D) - 2023.10.30",2023.10.30,Rating Score4.0,“그룹 내 포지션은 좋으나 보수는 아쉬움  ”
39,"Verified User
          현직원 · r***** · 경영지원·관리 전문가 - 2023.10.29",2023.10.29,Rating Score3.0,“워라밸은 좋은거 같습니다           ”
40,"Verified User
          현직원 · g***** · 환경·안전·보건 전문가 - 2023.10.28",2023.10.28,Rating Score5.0,“변화가 필요한 회사”
41,"Verified User
          현직원 · i********* · 연구개발(R&D) - 2023.10.28",2023.10.28,Rating Score3.0,“망하진않겠지만 미래걱정은 있음”
42,"Verified User
          현직원 · 외****** · 생산엔지니어·생산관리 - 2023.10.27",2023.10.27,Rating Score3.0,“돈은 아직 많이 주지만 미래가 불투명한 회사”
43,"Verified User
          현직원 · s***** · 환경·안전·보건 전문가 - 2023.10.27",2023.10.27,Rating Score4.0,"“석화 탑이지만, 석화가 대수냐”"
44,"Verified User
          현직원 · b***** · 생산엔지니어·생산관리 - 2023.10.26",2023.10.26,Rating Score3.0,“일이 너무 많으나 그만큼 경력 쌓을만 함”
45,"Verified User
          현직원 · l********* · 연구개발(R&D) - 2023.10.26",2023.10.26,Rating Score3.0,“워라벨보장되는 회사”
