,info,date,rating,title
0,"Verified User
          현직원 · X***** · 고객상담 전문가 - 2021.02.18",2021.02.18,Rating Score2.0,“글쎄”
1,"Verified User
          현직원 · W***** · 영업 전문가 - 2023.06.21",2023.06.21,Rating Score4.0,“안정적인 회사”
2,"Verified User
          현직원 · R***** · IT 기획·매니지먼트 전문가 - 2023.05.12",2023.05.12,Rating Score4.0,“워라벨”
3,"Verified User
          현직원 · B***** · 회계·세무·재무 전문가 - 2023.01.02",2023.01.02,Rating Score3.0,“커리어쌓는데도움되는회사”
4,"Verified User
          현직원 · n***** · IT 기획·매니지먼트 전문가 - 2022.11.22",2022.11.22,Rating Score5.0,“연봉 복지 만족”
5,"Verified User
          현직원 · 직***** · 경영전략·사업기획·분석전문가 - 2022.11.21",2022.11.21,Rating Score5.0,“레벨업 되는 회사”
6,"Verified User
          현직원 · 미**** · 경영지원·관리 전문가 - 2022.07.20",2022.07.20,Rating Score4.0,“복지가 좋은 회사”
7,"Verified User
          현직원 · な******** · 경영전략·사업기획·분석전문가 - 2022.05.18",2022.05.18,Rating Score4.0,“중소기업임”
8,"Verified User
          현직원 · l***** · 마케팅·홍보 전문가 - 2022.04.19",2022.04.19,Rating Score3.0,“주 52는 확실하다”
9,"Verified User
          현직원 · 워** · 경영전략·사업기획·분석전문가 - 2022.04.11",2022.04.11,Rating Score4.0,“좋은 급여수준과 워라밸의 회사”
10,"Verified User
          현직원 · 한** · 금융상담·관리 전문가 - 2022.03.20",2022.03.20,Rating Score3.0,“그럭저럭”
11,"Verified User
          현직원 · F***** · 경영지원·관리 전문가 - 2022.03.04",2022.03.04,Rating Score3.0,“공채 추천”
12,"Verified User
          현직원 · h******** · 금융상담·관리 전문가 - 2022.02.23",2022.02.23,Rating Score3.0,“독재체제”
13,"Verified User
          현직원 · g****** · 금융상담·관리 전문가 - 2022.02.21",2022.02.21,Rating Score4.0,“워라밸은 보장안되는 회사”
14,"Verified User
          현직원 · A********* · 경영지원·관리 전문가 - 2022.01.16",2022.01.16,Rating Score4.0,“복지는좋음”
15,"Verified User
          현직원 · o***** · 경영지원·관리 전문가 - 2021.12.23",2021.12.23,Rating Score4.0,“희망을가질수 있는회사”
16,"Verified User
          현직원 · 망* · 경영지원·관리 전문가 - 2021.12.22",2021.12.22,Rating Score5.0,“높은연봉”
17,"Verified User
          현직원 · 부**** · 금융상담·관리 전문가 - 2021.12.21",2021.12.21,Rating Score3.0,“누구에겐 좋겠지만 저는 별로”
18,"Verified User
          현직원 · 시**** · 금융상담·관리 전문가 - 2021.06.29",2021.06.29,Rating Score3.0,“좋은 회사. 앞으로도 좋을지는...”
19,"Verified User
          현직원 · Q***** · 금융상담·관리 전문가 - 2021.02.02",2021.02.02,Rating Score4.0,“전형적인 금융지주 회사”
20,"Verified User
          현직원 · 누******** · 경영지원·관리 전문가 - 2020.11.14",2020.11.14,Rating Score5.0,“워라벨 급여복지 최고”
21,"Verified User
          현직원 · 엑**** · 회계·세무·재무 전문가 - 2020.09.29",2020.09.29,Rating Score4.0,“복지는 최고”
22,"Verified User
          현직원 · l******** · 경영지원·관리 전문가 - 2020.09.23",2020.09.23,Rating Score4.0,“워라벨 보장 .대외적으로 평판좋은 회사”
23,"Verified User
          현직원 · 방**** · 경영지원·관리 전문가 - 2020.09.22",2020.09.22,Rating Score5.0,“최근에 좀 많이바뀜”
24,"Verified User
          현직원 · u******** · 경영지원·관리 전문가 - 2020.09.21",2020.09.21,Rating Score3.0,“국내 대표적인 금융회사”
25,"Verified User
          현직원 · b******* · 금융상담·관리 전문가 - 2020.07.31",2020.07.31,Rating Score4.0,"“근무환경, 직장동료, 업무 강도 대체로 괜찮다.”"
26,"Verified User
          현직원 · 5********* · 연구개발(R&D) - 2020.07.31",2020.07.31,Rating Score4.0,“본인이 하고 싶은 분야에 대해서 연구를 진행할 수 있는 환경.”
