,info,date,rating,title
0,"Verified User
          현직원 · i******** · 생산엔지니어·생산관리 - 2023.07.08",2023.07.08,Rating Score2.0,"“적당한 연봉, 좋은 복지”"
1,"Verified User
          현직원 · !********* · IT 엔지니어 - 2023.11.17",2023.11.17,Rating Score3.0,“워라밸 개박살”
2,"Verified User
          현직원 · 노* · 영업 전문가 - 2023.11.13",2023.11.13,Rating Score3.0,“장단점이 확실한 회사”
3,"Verified User
          현직원 · v***** · 구매·물류·SCM 전문가 - 2023.10.30",2023.10.30,Rating Score4.0,“좋은듯 안좋은듯”
4,"Verified User
          현직원 · M***** · IT 기획·매니지먼트 전문가 - 2023.10.19",2023.10.19,Rating Score5.0,“적당히 다닐만한 회사”
5,"Verified User
          현직원 · 파****** · 생산엔지니어·생산관리 - 2023.09.09",2023.09.09,Rating Score4.0,“평생다니기 괜찮다싶은회사”
6,"Verified User
          현직원 · Q***** · 생산엔지니어·생산관리 - 2023.08.25",2023.08.25,Rating Score4.0,“워라밸이 좋음”
7,"Verified User
          현직원 · o****** · 경영전략·사업기획·분석전문가 - 2023.08.22",2023.08.22,Rating Score5.0,“워라밸 복지가 좋음”
8,"Verified User
          현직원 · K**** · 구매·물류·SCM 전문가 - 2023.08.11",2023.08.11,Rating Score5.0,“만족도가 높은 회사”
9,"Verified User
          현직원 · m******** · 영업 전문가 - 2023.08.08",2023.08.08,Rating Score3.0,“워라밸 보장되어 있음”
10,"Verified User
          현직원 · g**** · 생산엔지니어·생산관리 - 2023.07.22",2023.07.22,Rating Score3.0,“워라벨만 보장되는듯한 느낌”
11,"Verified User
          현직원 · i******** · 영업 전문가 - 2023.07.09",2023.07.09,Rating Score3.0,"“연봉과 복지는 만족하지만, 신분별 격차가 심한 회사”"
12,"Verified User
          현직원 · l********* · 생산엔지니어·생산관리 - 2023.07.07",2023.07.07,Rating Score3.0,“주인 없는 회사”
13,"Verified User
          현직원 · G***** · 경영지원·관리 전문가 - 2023.07.05",2023.07.05,Rating Score5.0,"“워라밸, 급여 다 만족하지만 커리어개발은 하기나름일듯”"
14,"Verified User
          현직원 · B***** · 영업 전문가 - 2023.07.05",2023.07.05,Rating Score5.0,"“극강의 워라밸과 안정성, 우수한 연봉”"
15,"Verified User
          현직원 · j********* · 생산엔지니어·생산관리 - 2023.07.04",2023.07.04,Rating Score5.0,“연고지라면 최고의 회사”
16,"Verified User
          현직원 · d***** · 생산엔지니어·생산관리 - 2023.07.01",2023.07.01,Rating Score5.0,“어느하나 최상은 아니지만 모든것이 상위권인 회사”
17,"Verified User
          현직원 · y***** · 경영전략·사업기획·분석전문가 - 2023.06.30",2023.06.30,Rating Score2.0,"“능력, 성과 보다 정치와 관계가 더 중요한 회사”"
18,"Verified User
          현직원 · S***** · IT 엔지니어 - 2023.06.27",2023.06.27,Rating Score5.0,“만족하면서 다닐 수 있는 회사”
19,"Verified User
          현직원 · P***** · 경영전략·사업기획·분석전문가 - 2023.06.21",2023.06.21,Rating Score3.0,“겉보기엔 멀쩡한 회사”
20,"Verified User
          현직원 · A***** · 생산엔지니어·생산관리 - 2023.06.18",2023.06.18,Rating Score4.0,“회사가 연고지면 좋은 회사”
21,"Verified User
          현직원 · l********* · 생산엔지니어·생산관리 - 2023.06.18",2023.06.18,Rating Score4.0,“워라밸 보장 그럭저럭한 급여”
22,"Verified User
          현직원 · b***** · 생산엔지니어·생산관리 - 2023.06.15",2023.06.15,Rating Score5.0,“현장직이면 A+ 사무직이면 D-”
23,"Verified User
          현직원 · 휴***** · 연구개발(R&D) - 2023.06.13",2023.06.13,Rating Score5.0,“열심히 해도 신분제도 존재하는 회사”
24,"Verified User
          현직원 · P***** · 연구개발(R&D) - 2023.05.31",2023.05.31,Rating Score5.0,“워라벨이 보장되는 회사”
25,"Verified User
          전직원 · o******* · 생산엔지니어·생산관리 - 2023.05.25",2023.05.25,Rating Score2.0,"“담배, 그 한단어로 설명 가능”"
26,"Verified User
          현직원 · 서*** · 경영지원·관리 전문가 - 2023.05.22",2023.05.22,Rating Score5.0,“케이티앤지 장단점 바이블”
27,"Verified User
          현직원 · i********* · 생산엔지니어·생산관리 - 2023.05.17",2023.05.17,Rating Score4.0,“복지랑 연봉은 좋은 회사”
28,"Verified User
          전직원 · i******* · 생산엔지니어·생산관리 - 2023.04.29",2023.04.29,Rating Score5.0,“신이 숨겨놓은 기업(특히 연고지 근처다? 최고임)”
29,"Verified User
          현직원 · j********* · 마케팅·홍보 전문가 - 2023.04.24",2023.04.24,Rating Score5.0,“직무별 차이는 있겠지만 개꿀 신이 숨겨놓은 회사”
30,"Verified User
          현직원 · 큐*** · 경영전략·사업기획·분석전문가 - 2023.04.12",2023.04.12,Rating Score2.0,“산업특수성 덕분에 살아남는 회사”
31,"Verified User
          전직원 · c***** · 경영지원·관리 전문가 - 2023.04.11",2023.04.11,Rating Score3.0,“꼰대가 많지만 괜찮은 회사”
32,"Verified User
          현직원 · P***** · 경영전략·사업기획·분석전문가 - 2023.04.08",2023.04.08,Rating Score5.0,“만족하면서 다니는 회사”
33,"Verified User
          현직원 · k***** · 경영지원·관리 전문가 - 2023.04.08",2023.04.08,Rating Score3.0,“삭막하고 복지 좋은 회사”
34,"Verified User
          현직원 · A***** · 연구개발(R&D) - 2023.04.06",2023.04.06,Rating Score3.0,“커리어 포기하면 다닐만한 회사”
35,"Verified User
          현직원 · l******* · 경영전략·사업기획·분석전문가 - 2023.04.04",2023.04.04,Rating Score1.0,“정치인만 살아남는 회사”
36,"Verified User
          현직원 · l******** · 생산엔지니어·생산관리 - 2023.04.03",2023.04.03,Rating Score4.0,“이것저것 다 할줄 알아야하는 회사”
37,"Verified User
          현직원 · l********* · 경영지원·관리 전문가 - 2023.03.30",2023.03.30,Rating Score3.0,“정년까지 다니고 싶으면 낫배드”
38,"Verified User
          현직원 · l********* · 생산엔지니어·생산관리 - 2023.03.30",2023.03.30,Rating Score4.0,“마지막 종착지”
39,"Verified User
          현직원 · E***** · 해외영업·사업개발·마케팅 - 2023.03.27",2023.03.27,Rating Score3.0,“워라밸이좋음”
40,"Verified User
          전직원 · |******* · 생산엔지니어·생산관리 - 2023.03.25",2023.03.25,Rating Score5.0,“모든부분이 평타이상인 기업”
41,"Verified User
          현직원 · I********* · 영업 전문가 - 2023.03.22",2023.03.22,Rating Score5.0,"“워라밸은 확실, 근데 일 하면서 현타가 온다”"
42,"Verified User
          현직원 · 정*** · 마케팅·홍보 전문가 - 2023.03.09",2023.03.09,Rating Score5.0,“좋은회사”
43,"Verified User
          현직원 · 루*** · 마케팅·홍보 전문가 - 2023.03.09",2023.03.09,Rating Score3.0,“복지는 좋지만 좀 아쉽다”
44,"Verified User
          현직원 · 응** · 생산엔지니어·생산관리 - 2023.03.07",2023.03.07,Rating Score5.0,“워라벨 복지 급여 3가지가 평타이상치는회사”
45,"Verified User
          현직원 · 케* · 구매·물류·SCM 전문가 - 2023.03.05",2023.03.05,Rating Score4.0,“워라밸은 있지만 미래가 궁금한 회사”
46,"Verified User
          현직원 · q****** · 생산엔지니어·생산관리 - 2023.03.01",2023.03.01,Rating Score1.0,“복지 좋음”
47,"Verified User
          현직원 · 지* · 경영전략·사업기획·분석전문가 - 2023.02.28",2023.02.28,Rating Score5.0,“돈많이주는 회사(본사는 워라헬)”
48,"Verified User
          전직원 · |******* · 생산엔지니어·생산관리 - 2023.02.25",2023.02.25,Rating Score5.0,“신이 숨겨둔 기업. 워라밸이 너무좋다”
49,"Verified User
          현직원 · 는** · 마케팅·홍보 전문가 - 2023.02.24",2023.02.24,Rating Score4.0,“이 정도는 되어야 철밥통인가..?”
50,"Verified User
          현직원 · t****** · 건설 엔지니어 - 2023.02.22",2023.02.22,Rating Score3.0,“과도기 기업”
51,"Verified User
          현직원 · !********* · 마케팅·홍보 전문가 - 2023.02.21",2023.02.21,Rating Score1.0,“빛좋은 개살구”
52,"Verified User
          현직원 · 중*** · 해외영업·사업개발·마케팅 - 2023.02.19",2023.02.19,Rating Score4.0,“문화 빼고 다 좋은 회사”
53,"Verified User
          현직원 · A**** · 구매·물류·SCM 전문가 - 2023.02.11",2023.02.11,Rating Score5.0,“이 회사.. 좋은회사인가..”
54,"Verified User
          현직원 · K***** · 경영전략·사업기획·분석전문가 - 2023.01.27",2023.01.27,Rating Score5.0,“전반적으로 만족스러운 회사”
55,"Verified User
          현직원 · I***** · 영업 전문가 - 2023.01.26",2023.01.26,Rating Score1.0,“겉보기만 번드르르한  내실없는 회사”
56,"Verified User
          현직원 · m***** · 경영지원·관리 전문가 - 2023.01.25",2023.01.25,Rating Score2.0,“유리천장이 있는 회사”
57,"Verified User
          현직원 · 산****** · 경영지원·관리 전문가 - 2023.01.15",2023.01.15,Rating Score5.0,“워라벨 보장 가능”
58,"Verified User
          현직원 · h********* · 금융상담·관리 전문가 - 2023.01.09",2023.01.09,Rating Score4.0,“지금은 좋은 회사 앞으로는??”
59,"Verified User
          현직원 · 한*** · 생산엔지니어·생산관리 - 2022.12.24",2022.12.24,Rating Score4.0,"“워라밸, 복지는 마음에 드는 회사”"
60,"Verified User
          현직원 · 티** · 생산엔지니어·생산관리 - 2022.12.18",2022.12.18,Rating Score4.0,“적당한 회사”
61,"Verified User
          현직원 · 돈***** · 품질관리·보증 전문가 - 2022.12.09",2022.12.09,Rating Score4.0,“90년대에 멈춰있눈 회사”
62,"Verified User
          전직원 · 탈***** · IT 엔지니어 - 2022.12.03",2022.12.03,Rating Score5.0,“사이클을 안타는 안정적인 기업”
63,"Verified User
          현직원 · R***** · 경영지원·관리 전문가 - 2022.11.25",2022.11.25,Rating Score5.0,“담배은 영원하다”
64,"Verified User
          현직원 · 닉* · 회계·세무·재무 전문가 - 2022.11.16",2022.11.16,Rating Score3.0,“적당한 급여와 괜찮은 복지에 만족할 거면 자존심 버리세요”
65,"Verified User
          현직원 · k***** · 경영지원·관리 전문가 - 2022.11.16",2022.11.16,Rating Score2.0,“인생 열정 없이 9-6 대충 존버하기 좋은 회사”
