,info,date,rating,title
0,"Verified User
          전직원 · 악********* · 구매·물류·SCM 전문가 - 2022.05.11",2022.05.11,Rating Score1.0,“LG탈출은 지능순 ”
1,"Verified User
          전직원 · 날** · 마케팅·홍보 전문가 - 2023.05.06",2023.05.06,Rating Score3.0,“좋은회사”
2,"Verified User
          현직원 · e********* · 경영전략·사업기획·분석전문가 - 2022.12.07",2022.12.07,Rating Score3.0,“돈으로 모든 걸 커버할 수 있는 회사”
3,"Verified User
          전직원 · 스*** · IT 디자이너 - 2022.09.18",2022.09.18,Rating Score3.0,“워라밸리보장돠는회사”
4,"Verified User
          현직원 · 헬******* · 경영전략·사업기획·분석전문가 - 2022.03.21",2022.03.21,Rating Score3.0,“얇고 길게 가길 원하는 사람들에게 적합”
5,"Verified User
          현직원 · 사** · 경영지원·관리 전문가 - 2022.01.28",2022.01.28,Rating Score2.0,“그냥저냥 욕심 없이 다닐거면 괜찮고”
6,"Verified User
          전직원 · W***** · 경영전략·사업기획·분석전문가 - 2022.01.21",2022.01.21,Rating Score1.0,“워라벨따윈 절대보장 안되고 알면서도 고칠생각 안하는 윗선”
7,"Verified User
          전직원 · l******* · 상품기획·MD·디자이너 - 2022.01.20",2022.01.20,Rating Score1.0,“간판만남은옛날회사”
8,"Verified User
          전직원 · s***** · 품질관리·보증 전문가 - 2022.01.20",2022.01.20,Rating Score5.0,“대기업 네임밸류는 굿”
9,"Verified User
          현직원 · M****** · IT 기획·매니지먼트 전문가 - 2021.07.29",2021.07.29,Rating Score4.0,“워라밸이 보장되는 회사”
10,"Verified User
          현직원 · h***** · 경영전략·사업기획·분석전문가 - 2021.06.09",2021.06.09,Rating Score4.0,“Good”
11,"Verified User
          전직원 · 일**** · IT 엔지니어 - 2021.05.06",2021.05.06,Rating Score1.0,“과거의 영광만 바라보는 미래없는 낡은 회사”
12,"Verified User
          전직원 · a******** · IT 엔지니어 - 2021.04.05",2021.04.05,Rating Score1.0,“사람을 갈아서 소프트웨어 만드는곳”
13,"Verified User
          전직원 · I********* · 연구개발(R&D) - 2021.03.19",2021.03.19,Rating Score1.0,“연봉이 매우 낮은 회사”
14,"Verified User
          전직원 · t***** · 연구개발(R&D) - 2021.03.09",2021.03.09,Rating Score1.0,“조선시대 유교꼰대 기업”
15,"Verified User
          전직원 · 며***** · 경영지원·관리 전문가 - 2021.03.07",2021.03.07,Rating Score2.0,“연금없는 엘무원”
16,"Verified User
          전직원 · I********* · 품질관리·보증 전문가 - 2021.03.06",2021.03.06,Rating Score1.0,“성과급대신 보쌈주는 회사!!”
17,"Verified User
          전직원 · l******** · 연구개발(R&D) - 2021.03.02",2021.03.02,Rating Score1.0,“동생들 여기는 이제 아니야...”
18,"Verified User
          전직원 · j******** · 연구개발(R&D) - 2021.02.25",2021.02.25,Rating Score1.0,“lg라는 옛 영광에 젖어 내리막만 남은 회사”
19,"Verified User
          전직원 · l********* · 연구개발(R&D) - 2021.02.22",2021.02.22,Rating Score1.0,“직원들 피 빨아먹는 지주사”
20,"Verified User
          전직원 · q******* · 경영지원·관리 전문가 - 2021.02.22",2021.02.22,Rating Score1.0,“개쓰레기 회사”
21,"Verified User
          전직원 · ㅣ******** · 정보보안·IT보안 - 2021.02.21",2021.02.21,Rating Score1.0,“3차산업 끝자락에서 DT에 실패한 제조기반 그룹”
22,"Verified User
          전직원 · y***** · 연구개발(R&D) - 2021.02.19",2021.02.19,Rating Score1.0,“영원히 1등을 못할 기업”
23,"Verified User
          전직원 · !******** · 연구개발(R&D) - 2021.02.18",2021.02.18,Rating Score1.0,“경영진이 조선시대 계급사상(노비) 가짐”
24,"Verified User
          전직원 · t******* · 연구개발(R&D) - 2021.02.16",2021.02.16,Rating Score1.0,“머릿수만 많은 대기업. 현실은 소기업.”
25,"Verified User
          전직원 · ◎****** · 연구개발(R&D) - 2021.02.16",2021.02.16,Rating Score1.0,“임원만 행복함”
26,"Verified User
          전직원 · 암*** · 연구개발(R&D) - 2021.02.16",2021.02.16,Rating Score1.0,“다닐수록 실망”
27,"Verified User
          전직원 · f****** · IT 기획·매니지먼트 전문가 - 2021.02.14",2021.02.14,Rating Score1.0,“임원의 임원이 임원에 회사임”
28,"Verified User
          전직원 · 뗵 · IT 엔지니어 - 2021.02.09",2021.02.09,Rating Score1.0,“임원 배만 채우는 양아치회사”
29,"Verified User
          전직원 · g********* · IT 엔지니어 - 2021.02.03",2021.02.03,Rating Score1.0,“너무 높습니다 2점대는”
30,"Verified User
          전직원 · !********* · 품질관리·보증 전문가 - 2021.01.27",2021.01.27,Rating Score1.0,“임원진만 좋은회사”
31,"Verified User
          현직원 · f********* · IT 기획·매니지먼트 전문가 - 2020.07.31",2020.07.31,Rating Score3.0,“업무량이 많지만 연봉은 생각보다 쏘쏘”
32,"Verified User
          현직원 · q******** · 경영지원·관리 전문가 - 2020.07.31",2020.07.31,Rating Score3.0,“타기업대비 낮은 전봉. LG 네임 벨류에 비해 적게 주느 듯”
