,info,date,rating,title
0,"Verified User
          현직원 · 주***** · 연구개발(R&D) - 2023.09.19",2023.09.19,Rating Score3.0,“워라밸 하나는 굿”
1,"Verified User
          현직원 · y***** · 연구개발(R&D) - 2023.11.27",2023.11.27,Rating Score4.0,“급여는 좋음”
2,"Verified User
          전직원 · 인** · 연구개발(R&D) - 2023.11.25",2023.11.25,Rating Score2.0,“워라밸 하나 뿐 ”
3,"Verified User
          현직원 · s**** · 연구개발(R&D) - 2023.11.17",2023.11.17,Rating Score5.0,“내가 다니니까 5점줘요”
4,"Verified User
          현직원 · 디*** · 연구개발(R&D) - 2023.11.17",2023.11.17,Rating Score5.0,“뭔가 좋은 회사가 될 수도 있을 것 같은데.. 포스코 태생의 한계로 어려울 것 같다. 꼰대는 적은데 꼰대들에게 겁먹은 사람들이 절대적 다수라 분위기가 자유롭지않고 눈치 보는 사회이다.”
5,"Verified User
          현직원 · y****** · 연구개발(R&D) - 2023.11.16",2023.11.16,Rating Score5.0,“전반적으로만족”
6,"Verified User
          현직원 · J***** · 경영전략·사업기획·분석전문가 - 2023.11.14",2023.11.14,Rating Score2.0,“네임밸류만큼 일이 힘든 회사”
7,"Verified User
          현직원 · !******** · 연구개발(R&D) - 2023.11.12",2023.11.12,Rating Score5.0,“앞으로 발전해나가는 미래연”
8,"Verified User
          현직원 · u**** · 연구개발(R&D) - 2023.11.03",2023.11.03,Rating Score5.0,“하는 일에 비해 돈을 많이 주는 거 같음”
9,"Verified User
          현직원 · w***** · 생산엔지니어·생산관리 - 2023.11.02",2023.11.02,Rating Score5.0,“워라벨 갓회사 ”
10,"Verified User
          현직원 · 하****** · 생산엔지니어·생산관리 - 2023.10.30",2023.10.30,Rating Score5.0,“사내 분위기하나는 정말 좋은 회사”
11,"Verified User
          현직원 · t****** · 연구개발(R&D) - 2023.10.30",2023.10.30,Rating Score5.0,“좋은회사맞음”
12,"Verified User
          현직원 · x***** · 연구개발(R&D) - 2023.06.26",2023.06.26,Rating Score5.0,“워라밸이 좋은 회사”
13,"Verified User
          현직원 · h***** · 경영지원·관리 전문가 - 2022.08.23",2022.08.23,Rating Score1.0,“서울 근무라서 좋은 회사”
14,"Verified User
          현직원 · d********* · 경영전략·사업기획·분석전문가 - 2022.08.05",2022.08.05,Rating Score4.0,“경영진의 교체가 시급”
