,info,date,rating,title
0,"Verified User
          현직원 · J***** · 금융상담·관리 전문가 - 2023.02.28",2023.02.28,Rating Score2.0,“목적 없는 의전회사”
1,"Verified User
          현직원 · 디** · 경영지원·관리 전문가 - 2023.03.11",2023.03.11,Rating Score3.0,“일 배우기좋은회사”
2,"Verified User
          현직원 · H***** · IT 엔지니어 - 2023.03.01",2023.03.01,Rating Score3.0,“신한에이아이”
3,"Verified User
          현직원 · n***** · 회계·세무·재무 전문가 - 2023.02.22",2023.02.22,Rating Score4.0,“누구 밑에서 일하느냐가 중요”
4,"Verified User
          현직원 · V***** · 금융상담·관리 전문가 - 2022.12.07",2022.12.07,Rating Score4.0,“워라벨보장”
5,"Verified User
          현직원 · A***** · 경영지원·관리 전문가 - 2022.11.24",2022.11.24,Rating Score1.0,“의전에서 시작해서 의전으로 끝나는 회사”
6,"Verified User
          현직원 · 코*** · 경영지원·관리 전문가 - 2022.10.22",2022.10.22,Rating Score5.0,“의전에 위한 의전을 위한 조직”
7,"Verified User
          현직원 · 평*** · 회계·세무·재무 전문가 - 2022.08.25",2022.08.25,Rating Score3.0,“워라벨은 보장되지 않음”
8,"Verified User
          전직원 · m**** · 경영지원·관리 전문가 - 2022.06.10",2022.06.10,Rating Score4.0,“수직적인 구조가 장점 혹은 단점”
9,"Verified User
          현직원 · r***** · 경영전략·사업기획·분석전문가 - 2022.03.13",2022.03.13,Rating Score4.0,“신한금융그룹에서만 살면 좋다”
10,"Verified User
          현직원 · s***** · IT 엔지니어 - 2022.03.11",2022.03.11,Rating Score3.0,"“워라벨, 복지”"
11,"Verified User
          현직원 · 말**** · 금융상담·관리 전문가 - 2022.02.24",2022.02.24,Rating Score3.0,“워라벨이 보장됨”
12,"Verified User
          현직원 · 장***** · 금융상담·관리 전문가 - 2022.02.06",2022.02.06,Rating Score5.0,“워라밸 없는 회사”
13,"Verified User
          현직원 · w***** · 금융상담·관리 전문가 - 2021.12.29",2021.12.29,Rating Score4.0,“모든게 평균 이상은 된다”
14,"Verified User
          현직원 · k***** · 마케팅·홍보 전문가 - 2021.12.22",2021.12.22,Rating Score4.0,“결혼하고 다니기 좋은 회사”
15,"Verified User
          현직원 · p****** · IT 엔지니어 - 2021.08.14",2021.08.14,Rating Score4.0,“예상 그대로의 금융 지주회사”
16,"Verified User
          현직원 · F***** · IT 디자이너 - 2021.06.22",2021.06.22,Rating Score3.0,“열심히 다닐만한 회사”
17,"Verified User
          현직원 · 빠***** · 건설 엔지니어 - 2021.02.24",2021.02.24,Rating Score3.0,“워라밸이 보장되는 회사”
18,"Verified User
          현직원 · 배***** · 금융상담·관리 전문가 - 2020.11.29",2020.11.29,Rating Score4.0,“다니기 좋은회사”
19,"Verified User
          현직원 · z***** · 금융상담·관리 전문가 - 2020.11.19",2020.11.19,Rating Score3.0,“직장 동료들끼리 친함”
20,"Verified User
          현직원 · e**** · 금융상담·관리 전문가 - 2020.07.31",2020.07.31,Rating Score3.0,“공과 사 구별이 확실하고 신입을 거의 안 뽑음.”
