,info,date,rating,title
0,"Verified User
          현직원 · 므***** · 생산엔지니어·생산관리 - 2023.11.27",2023.11.27,Rating Score2.0,“가방끈 짧으면 힘든 회사”
1,"Verified User
          현직원 · z***** · 품질관리·보증 전문가 - 2023.11.25",2023.11.25,Rating Score3.0,“더 좋아질 수 있을 것 같은데 안되는 아쉬운 회사”
2,"Verified User
          현직원 · a***** · 생산엔지니어·생산관리 - 2023.11.22",2023.11.22,Rating Score5.0,“현재는 네임밸류 좋고 급여나쁘지않은 회사”
3,"Verified User
          현직원 · M******** · 품질관리·보증 전문가 - 2023.11.19",2023.11.19,Rating Score4.0,“너무 좋아요”
4,"Verified User
          현직원 · w***** · 연구개발(R&D) - 2023.11.18",2023.11.18,Rating Score5.0,“무난함”
5,"Verified User
          현직원 · 소***** · 생산엔지니어·생산관리 - 2023.11.08",2023.11.08,Rating Score2.0,“미래보고왔다가 현재보고 존버 이직 나뉘는회사”
6,"Verified User
          현직원 · 공*** · 영업 전문가 - 2023.11.07",2023.11.07,Rating Score3.0,“경영진이 다 해먹는 회사”
7,"Verified User
          현직원 · !******** · 생산엔지니어·생산관리 - 2023.11.04",2023.11.04,Rating Score4.0,“신입에게 최고의 기업”
8,"Verified User
          현직원 · i******** · 경영전략·사업기획·분석전문가 - 2023.11.03",2023.11.03,Rating Score2.0,“첫 회사로는 비추천. 기업문화가 후지다”
9,"Verified User
          현직원 · p***** · 생산엔지니어·생산관리 - 2023.11.01",2023.11.01,Rating Score3.0,“1인 업무부담이 큰 회사”
10,"Verified User
          현직원 · o***** · 생산엔지니어·생산관리 - 2023.10.25",2023.10.25,Rating Score5.0,“열심히 성장하는 회사”
11,"Verified User
          현직원 · 추**** · 생산엔지니어·생산관리 - 2023.10.22",2023.10.22,Rating Score3.0,“좋아요”
12,"Verified User
          현직원 · 강***** · 환경·안전·보건 전문가 - 2023.10.20",2023.10.20,Rating Score5.0,“배울게 많은 ”
13,"Verified User
          현직원 · 퓨** · 생산엔지니어·생산관리 - 2023.10.19",2023.10.19,Rating Score5.0,“단기간 다니기 좋은 회사”
14,"Verified User
          현직원 · l********* · 생산엔지니어·생산관리 - 2023.10.19",2023.10.19,Rating Score2.0,“안정적인 회사”
15,"Verified User
          현직원 · 내****** · 건설 엔지니어 - 2023.10.09",2023.10.09,Rating Score2.0,“한숨만...”
16,"Verified User
          현직원 · P***** · 경영지원·관리 전문가 - 2023.10.03",2023.10.03,Rating Score3.0,“일할기회기많은회사”
17,"Verified User
          현직원 · 아**** · 품질관리·보증 전문가 - 2023.10.01",2023.10.01,Rating Score2.0,“초봉만 높은 회사”
18,"Verified User
          현직원 · !****** · 하드웨어 엔지니어 - 2023.09.30",2023.09.30,Rating Score2.0,“공기업의 단점과 사기업의 단점이 합쳐진 회사”
19,"Verified User
          현직원 · l***** · 생산엔지니어·생산관리 - 2023.09.25",2023.09.25,Rating Score2.0,“탈출은 지능순”
20,"Verified User
          현직원 · 연****** · 생산엔지니어·생산관리 - 2023.09.22",2023.09.22,Rating Score3.0,“망하지는 않는 회사”
21,"Verified User
          현직원 · W***** · 생산엔지니어·생산관리 - 2023.09.19",2023.09.19,Rating Score4.0,“워라밸 없는 회사”
22,"Verified User
          현직원 · s****** · IT 엔지니어 - 2023.09.16",2023.09.16,Rating Score3.0,“연봉이 보장되는 회사”
23,"Verified User
          현직원 · W***** · 경영전략·사업기획·분석전문가 - 2023.09.14",2023.09.14,Rating Score4.0,“하루하루 발전하는게 눈에 보이는 회사”
24,"Verified User
          현직원 · j******* · 생산엔지니어·생산관리 - 2023.09.07",2023.09.07,Rating Score3.0,“능력 키우기 좋은회사”
25,"Verified User
          현직원 · 9**** · 연구개발(R&D) - 2023.09.06",2023.09.06,Rating Score3.0,“이차전지 회사의 일반적인 상황을 보여주는 회사”
26,"Verified User
          현직원 · h********* · 품질관리·보증 전문가 - 2023.09.05",2023.09.05,Rating Score5.0,“연봉이 높은 회사”
27,"Verified User
          현직원 · a**** · 연구개발(R&D) - 2023.09.04",2023.09.04,Rating Score4.0,“돈 나쁘지 않게 줌”
28,"Verified User
          현직원 · l**** · 생산엔지니어·생산관리 - 2023.09.03",2023.09.03,Rating Score4.0,“젊은 사람들의 기업”
29,"Verified User
          현직원 · H***** · 생산엔지니어·생산관리 - 2023.08.30",2023.08.30,Rating Score2.0,“초반 급여는 높지만 인상률은 극악에 처우는 동종업계 최하”
30,"Verified User
          현직원 · !******** · 건설 엔지니어 - 2023.08.28",2023.08.28,Rating Score3.0,“성장성만 좋음 나머진 최악”
31,"Verified User
          현직원 · I********* · 생산엔지니어·생산관리 - 2023.08.26",2023.08.26,Rating Score4.0,“기초소재 e직군 회식문화”
32,"Verified User
          현직원 · B****** · 고객상담 전문가 - 2023.08.22",2023.08.22,Rating Score3.0,“대환장 파티”
33,"Verified User
          현직원 · 맛** · 생산엔지니어·생산관리 - 2023.08.22",2023.08.22,Rating Score3.0,“우리가 이렇게 잘나갑니다 홍보하고 다니지만 속은 별볼일 없는 회사”
34,"Verified User
          현직원 · i******* · 생산엔지니어·생산관리 - 2023.08.15",2023.08.15,Rating Score4.0,“성장중인 회사”
35,"Verified User
          전직원 · 으*** · 생산엔지니어·생산관리 - 2023.08.14",2023.08.14,Rating Score1.0,“대기업 아닙니다”
36,"Verified User
          현직원 · s********* · 마케팅·홍보 전문가 - 2023.08.14",2023.08.14,Rating Score3.0,“초봉만 높음”
37,"Verified User
          현직원 · 1********* · 생산엔지니어·생산관리 - 2023.08.13",2023.08.13,Rating Score1.0,“직원의 발목을 잡는 회사”
38,"Verified User
          현직원 · l********* · 생산엔지니어·생산관리 - 2023.08.09",2023.08.09,Rating Score3.0,“한치앞만 보는 회사”
39,"Verified User
          현직원 · 파******* · 생산엔지니어·생산관리 - 2023.08.06",2023.08.06,Rating Score4.0,“부바부가 극심한 나만큼은 워라밸 좋은 회사”
40,"Verified User
          현직원 · z****** · 생산엔지니어·생산관리 - 2023.07.31",2023.07.31,Rating Score2.0,“회사는 성장하지만  속은 도태되는곳  ”
41,"Verified User
          현직원 · 삐** · 건설 엔지니어 - 2023.07.29",2023.07.29,Rating Score3.0,“시총대비 그렇지못한 문화와 직원마인드”
42,"Verified User
          현직원 · y****** · 생산엔지니어·생산관리 - 2023.07.28",2023.07.28,Rating Score3.0,“계속 다닐거라면 나쁘지만은 않은 회사”
43,"Verified User
          현직원 · Y***** · 생산엔지니어·생산관리 - 2023.07.27",2023.07.27,Rating Score3.0,“회사는 성장하지만 직원에게는 성장을 안시켜줌”
44,"Verified User
          현직원 · w***** · 생산엔지니어·생산관리 - 2023.07.27",2023.07.27,Rating Score4.0,“전망 좋은 사업이지만 개선할 점이 많다”
45,"Verified User
          현직원 · z******* · 생산엔지니어·생산관리 - 2023.07.20",2023.07.20,Rating Score3.0,“중국 노동자 체험 가능”
46,"Verified User
          현직원 · o******* · 생산엔지니어·생산관리 - 2023.07.20",2023.07.20,Rating Score3.0,“모든게 열악한 성장중인 회사”
47,"Verified User
          현직원 · t******* · 생산엔지니어·생산관리 - 2023.07.20",2023.07.20,Rating Score4.0,“비전은 좋은데.. 비전만..?”
