,info,date,rating,title
0,"Verified User
          현직원 · l********* · 경영전략·사업기획·분석전문가 - 2023.11.22",2023.11.22,Rating Score2.0,“월급이 오르지 않음”
1,"Verified User
          현직원 · h****** · 생산엔지니어·생산관리 - 2023.11.24",2023.11.24,Rating Score5.0,“그래도 공기업”
2,"Verified User
          현직원 · R***** · 하드웨어 엔지니어 - 2023.11.24",2023.11.24,Rating Score4.0,“단점보다 장점이 많은 회사”
3,"Verified User
          현직원 · a******* · 경영지원·관리 전문가 - 2023.11.23",2023.11.23,Rating Score3.0,“대표 공기업의 몰락”
4,"Verified User
          현직원 · o***** · 경영전략·사업기획·분석전문가 - 2023.11.23",2023.11.23,Rating Score1.0,“겉보기와다른회사”
5,"Verified User
          현직원 · X***** · 건설 엔지니어 - 2023.11.23",2023.11.23,Rating Score4.0,“무난하게 다닐수있는 회사”
6,"Verified User
          현직원 · M***** · 하드웨어 엔지니어 - 2023.11.23",2023.11.23,Rating Score3.0,“워라밸 하나”
7,"Verified User
          현직원 · u***** · 고객서비스 전문가 - 2023.11.23",2023.11.23,Rating Score3.0,“워라벨 보장”
8,"Verified User
          현직원 · l********* · 경영전략·사업기획·분석전문가 - 2023.11.22",2023.11.22,Rating Score1.0,“아..최악”
9,"Verified User
          현직원 · i******* · 고객서비스 전문가 - 2023.11.22",2023.11.22,Rating Score3.0,“퇴보하는 회사”
10,"Verified User
          현직원 · o***** · 건설 엔지니어 - 2023.11.22",2023.11.22,Rating Score3.0,“한국갓력공사는 옛말”
11,"Verified User
          현직원 · 도** · 경영지원·관리 전문가 - 2023.11.22",2023.11.22,Rating Score4.0,“괜찮”
12,"Verified User
          현직원 · j****** · 건설 엔지니어 - 2023.11.21",2023.11.21,Rating Score1.0,“10년경험 결과 월급만이 남게되는 회사.. ”
13,"Verified User
          현직원 · 시*** · 건설 엔지니어 - 2023.11.20",2023.11.20,Rating Score3.0,“공기업 최전방 하드탱커”
14,"Verified User
          현직원 · 너******** · 하드웨어 엔지니어 - 2023.11.20",2023.11.20,Rating Score5.0,“전기관련 전문가로 성장 가능”
15,"Verified User
          현직원 · J***** · 영업 전문가 - 2023.11.20",2023.11.20,Rating Score4.0,“워러벨이 보장 ”
16,"Verified User
          현직원 · c***** · 품질관리·보증 전문가 - 2023.11.19",2023.11.19,Rating Score3.0,“동네봉인가?”
17,"Verified User
          현직원 · g***** · 생산엔지니어·생산관리 - 2023.11.19",2023.11.19,Rating Score5.0,“경영진 빼고 모든게 지사 바이 지사”
