,info,date,rating,title
0,"Verified User
          현직원 · 홍*** · 생산엔지니어·생산관리 - 2023.08.29",2023.08.29,Rating Score1.0,"워라밸, 복지, 연봉 전부 애매"
1,"Verified User
          현직원 · b***** · 환경·안전·보건 전문가 - 2023.11.15",2023.11.15,Rating Score5.0,복지가 좋은 회사
2,"Verified User
          현직원 · P***** · 생산엔지니어·생산관리 - 2023.11.15",2023.11.15,Rating Score4.0,요새 회사 다닐만 난다
3,"Verified User
          현직원 · 안**** · 생산엔지니어·생산관리 - 2023.11.15",2023.11.15,Rating Score5.0,연봉이랑 복지는 확실하게 챙겨주는 회사
4,"Verified User
          현직원 · l******** · IT 엔지니어 - 2023.11.15",2023.11.15,Rating Score5.0,"위치 좋고, 급여 괜찮음"
5,"Verified User
          현직원 · c***** · 연구개발(R&D) - 2023.11.14",2023.11.14,Rating Score4.0,21년도 이후 사내 문화와 워라밸이 급변하며 좋아짐
6,"Verified User
          현직원 · M***** · 하드웨어 엔지니어 - 2023.11.14",2023.11.14,Rating Score4.0,젊은 회사. 약간 동아리 같기도..
7,"Verified User
          현직원 · a******** · 생산엔지니어·생산관리 - 2023.11.13",2023.11.13,Rating Score2.0,복지는 괜찮은 듯
8,"Verified User
          현직원 · z****** · 연구개발(R&D) - 2023.11.13",2023.11.13,Rating Score4.0,워라밸 연봉 모두 만족하는 회사
9,"Verified User
          현직원 · d********* · 생산엔지니어·생산관리 - 2023.11.11",2023.11.11,Rating Score4.0,급여는 좋음
10,"Verified User
          현직원 · V***** · IT 엔지니어 - 2023.11.11",2023.11.11,Rating Score3.0,무난 무난한 대기업
11,"Verified User
          현직원 · A***** · 생산엔지니어·생산관리 - 2023.11.10",2023.11.10,Rating Score5.0,오라 밸 이 보장되는 회사
12,"Verified User
          현직원 · l****** · 생산엔지니어·생산관리 - 2023.11.09",2023.11.09,Rating Score4.0,워라밸 좋음
13,"Verified User
          현직원 · C***** · IT 엔지니어 - 2023.11.08",2023.11.08,Rating Score4.0,워라밸 보장
14,"Verified User
          현직원 · c***** · IT 엔지니어 - 2023.11.07",2023.11.07,Rating Score3.0,IT 엔지니어라면 제조업 말고 서비스 회사 가세요
15,"Verified User
          현직원 · X***** · 경영지원·관리 전문가 - 2023.11.06",2023.11.06,Rating Score5.0,국내에 몇 안 되는 글로벌 기업
16,"Verified User
          현직원 · l******* · 회계·세무·재무 전문가 - 2023.11.06",2023.11.06,Rating Score2.0,세대 차이 심함
17,"Verified User
          현직원 · r***** · IT 엔지니어 - 2023.11.06",2023.11.06,Rating Score3.0,이것저것 시도는 많이 하는 회사
18,"Verified User
          현직원 · l********* · 연구개발(R&D) - 2023.11.04",2023.11.04,Rating Score3.0,사내 문화는 점점 변하고 있다
19,"Verified User
          현직원 · l********* · 하드웨어 엔지니어 - 2023.11.04",2023.11.04,Rating Score3.0,무능한 경영진
20,"Verified User
          현직원 · s******* · 생산엔지니어·생산관리 - 2023.11.03",2023.11.03,Rating Score4.0,쏘쏘해요~
21,"Verified User
          현직원 · W***** · 하드웨어 엔지니어 - 2023.11.01",2023.11.01,Rating Score5.0,워라밸도 좋고 업무 강도도 나쁘지 않음
22,"Verified User
          현직원 · D***** · 연구개발(R&D) - 2023.11.01",2023.11.01,Rating Score5.0,워라밸은 좋아요
23,"Verified User
          현직원 · s***** · 연구개발(R&D) - 2023.11.01",2023.11.01,Rating Score5.0,좋아요
24,"Verified User
          현직원 · Q***** · IT 엔지니어 - 2023.10.31",2023.10.31,Rating Score4.0,복지 좋은 제조회사
25,"Verified User
          현직원 · s********* · 연구개발(R&D) - 2023.10.31",2023.10.31,Rating Score4.0,dram 기술을 선도하는 기업입니다. 하지만 발전하기 위한 치열한 경쟁과 미래를 위한 준비가 부족한 면도 있습니다 
26,"Verified User
          현직원 · 가******** · 하드웨어 엔지니어 - 2023.10.30",2023.10.30,Rating Score4.0,"워라밸이 중요하다면 워라밸을 챙길 수 있고, 커리어를 쌓고 싶다면 쌓을 수 있는 회사."
27,"Verified User
          현직원 · 재******* · 연구개발(R&D) - 2023.10.28",2023.10.28,Rating Score3.0,ps 터질 때 좋음
28,"Verified User
          현직원 · X***** · 생산엔지니어·생산관리 - 2023.10.26",2023.10.26,Rating Score4.0,다니기 좋은 회사
29,"Verified User
          현직원 · i******** · 연구개발(R&D) - 2023.10.26",2023.10.26,Rating Score4.0,욕심 없이 다니면 최고
30,"Verified User
          현직원 · 이*** · 생산엔지니어·생산관리 - 2023.10.25",2023.10.25,Rating Score4.0,괜찮은 회사
31,"Verified User
          현직원 · u***** · 경영지원·관리 전문가 - 2023.10.25",2023.10.25,Rating Score3.0,대기업스러운 회사
32,"Verified User
          현직원 · o***** · 품질관리·보증 전문가 - 2023.10.25",2023.10.25,Rating Score2.0,적당한 회사
33,"Verified User
          현직원 · 호*** · 건설 엔지니어 - 2023.10.24",2023.10.24,Rating Score4.0,워라밸 좋은 회사
34,"Verified User
          현직원 · @****** · 환경·안전·보건 전문가 - 2023.10.24",2023.10.24,Rating Score5.0,워라밸은 모르겠고 복지는 좋음
35,"Verified User
          현직원 · I***** · 구매·물류·SCM 전문가 - 2023.10.23",2023.10.23,Rating Score5.0,워라밸 좋다
36,"Verified User
          현직원 · 1**** · 생산엔지니어·생산관리 - 2023.10.22",2023.10.22,Rating Score3.0,적당히 다니기 좋은 회사
37,"Verified User
          현직원 · j******* · 생산엔지니어·생산관리 - 2023.10.22",2023.10.22,Rating Score4.0,돈 많이 줌
38,"Verified User
          현직원 · p***** · 생산엔지니어·생산관리 - 2023.10.22",2023.10.22,Rating Score3.0,부부 부가 심하다
39,"Verified User
          현직원 · i***** · 연구개발(R&D) - 2023.10.21",2023.10.21,Rating Score4.0,열려있는척하지만 닫혀있는 회사
40,"Verified User
          현직원 · S***** · 생산엔지니어·생산관리 - 2023.10.21",2023.10.21,Rating Score3.0,다닐만한 회사
41,"Verified User
          현직원 · w***** · 연구개발(R&D) - 2023.10.19",2023.10.19,Rating Score5.0,좋은 회사
42,"Verified User
          현직원 · l***** · 연구개발(R&D) - 2023.10.19",2023.10.19,Rating Score5.0,괜찮은 무난한 대기업
