,Unnamed: 0,info,date,rating,title
0,0,"Verified User
          현직원 · i******** · IT 디자이너 - 2023.09.25",2023.09.25,Rating Score2.0,생각보다 여러모로 퇴보적이고 경직된 회사
1,1,"Verified User
          현직원 · i******** · IT 기획·매니지먼트 전문가 - 2023.11.14",2023.11.14,Rating Score5.0,시쳇말로 육각형 회사
2,2,"Verified User
          현직원 · l********* · IT 엔지니어 - 2023.11.13",2023.11.13,Rating Score5.0,좋은 회사
3,3,"Verified User
          현직원 · l******* · 정보보안·IT보안 - 2023.11.09",2023.11.09,Rating Score4.0,워라밸 보장되고 복지 급여 상위 티어급 회사
4,4,"Verified User
          현직원 · i********* · 경영지원·관리 전문가 - 2023.11.09",2023.11.09,Rating Score4.0,워라밸은 부마부
5,5,"Verified User
          현직원 · J********* · IT 기획·매니지먼트 전문가 - 2023.11.09",2023.11.09,Rating Score5.0,그래도 이만한 회사 찾기 어렵다
6,6,"Verified User
          현직원 · U***** · IT 엔지니어 - 2023.11.08",2023.11.08,Rating Score5.0,어쨌든 네이버
7,7,"Verified User
          현직원 · g******* · IT 기획·매니지먼트 전문가 - 2023.11.07",2023.11.07,Rating Score3.0,사람 갈아 넣는 회사...
8,8,"Verified User
          현직원 · i********* · IT 기획·매니지먼트 전문가 - 2023.11.06",2023.11.06,Rating Score4.0,몇 안 되는 괜찮은 회사
9,9,"Verified User
          현직원 · w******* · 마케팅·홍보 전문가 - 2023.11.06",2023.11.06,Rating Score3.0,네임밸류가 다임
10,10,"Verified User
          현직원 · A***** · IT 기획·매니지먼트 전문가 - 2023.11.05",2023.11.05,Rating Score4.0,커리어 발전이 가능한 회사
11,11,"Verified User
          현직원 · n***** · IT 기획·매니지먼트 전문가 - 2023.11.04",2023.11.04,Rating Score5.0,꽤 괜찮은 회사
12,12,"Verified User
          현직원 · o***** · IT 디자이너 - 2023.11.02",2023.11.02,Rating Score4.0,"부속품화, 능력 있는 사람도 평준화가 되는 문화"
13,13,"Verified User
          현직원 · h******** · 경영전략·사업기획·분석전문가 - 2023.11.01",2023.11.01,Rating Score4.0,재택 없으면 고민해 볼 회사
14,14,"Verified User
          현직원 · M***** · IT 기획·매니지먼트 전문가 - 2023.10.31",2023.10.31,Rating Score5.0,끊임없이 성장할 수 있는 곳
15,15,"Verified User
          현직원 · x***** · IT 기획·매니지먼트 전문가 - 2023.10.30",2023.10.30,Rating Score5.0,워라밸은 없으나 성장이 기대되는 회사
16,16,"Verified User
          현직원 · 하******** · 마케팅·홍보 전문가 - 2023.10.28",2023.10.28,Rating Score3.0,적당한 회사
17,17,"Verified User
          현직원 · K***** · IT 엔지니어 - 2023.10.27",2023.10.27,Rating Score4.0,육각형 회사
18,18,"Verified User
          현직원 · i******** · IT 엔지니어 - 2023.10.23",2023.10.23,Rating Score3.0,그냥저냥 회사
19,19,"Verified User
          현직원 · n***** · IT 엔지니어 - 2023.10.23",2023.10.23,Rating Score5.0,즐거운 회사
20,20,"Verified User
          현직원 · e****** · IT 엔지니어 - 2023.10.22",2023.10.22,Rating Score5.0,워라밸 성장 복지 모두 좋습니다
21,21,"Verified User
          현직원 · q********* · IT 엔지니어 - 2023.10.21",2023.10.21,Rating Score5.0,신입이면 좋은 회사
22,22,"Verified User
          현직원 · k***** · IT 기획·매니지먼트 전문가 - 2023.10.21",2023.10.21,Rating Score5.0,성장하기 좋은 회사
23,23,"Verified User
          현직원 · C***** · IT 엔지니어 - 2023.10.20",2023.10.20,Rating Score3.0,한 줄로 평하기에 너무 다양한 케바케
24,24,"Verified User
          전직원 · l********* · 연구개발(R&D) - 2023.10.20",2023.10.20,Rating Score4.0,좋은 연구개발 환경
25,25,"Verified User
          현직원 · K***** · IT 기획·매니지먼트 전문가 - 2023.10.20",2023.10.20,Rating Score3.0,대안이 없긴 한데...
26,26,"Verified User
          전직원 · y***** · 경영전략·사업기획·분석전문가 - 2023.10.19",2023.10.19,Rating Score5.0,"워라밸 보장, 뛰어난 동료"
27,27,"Verified User
          현직원 · p***** · 마케팅·홍보 전문가 - 2023.10.19",2023.10.19,Rating Score4.0,나쁘지 않다
28,28,"Verified User
          현직원 · i********* · IT 기획·매니지먼트 전문가 - 2023.10.19",2023.10.19,Rating Score4.0,모든 부분이 평균 이상인 회사
29,29,"Verified User
          현직원 · G***** · 영업 전문가 - 2023.10.18",2023.10.18,Rating Score4.0,"적당히 조용히 워라밸로 가거나, 과도하게 티 나게 성과에 목매서 올라가거나"
30,30,"Verified User
          현직원 · 1***** · IT 엔지니어 - 2023.10.16",2023.10.16,Rating Score3.0,거쳐가기 좋은 회사
31,31,"Verified User
          현직원 · c****** · IT 디자이너 - 2023.10.16",2023.10.16,Rating Score4.0,사옥이 세련됨 업무 케바케
32,32,"Verified User
          현직원 · i****** · 회계·세무·재무 전문가 - 2023.10.16",2023.10.16,Rating Score4.0,회사는 좋다 일하기에는..?
33,33,"Verified User
          현직원 · g***** · IT 엔지니어 - 2023.10.16",2023.10.16,Rating Score4.0,워라밸은 알아서 챙기는 회사
34,34,"Verified User
          현직원 · J***** · 경영지원·관리 전문가 - 2023.10.14",2023.10.14,Rating Score3.0,워라밸 보장
35,35,"Verified User
          현직원 · b***** · IT 엔지니어 - 2023.10.13",2023.10.13,Rating Score4.0,위기에도 복지가 좋은 회사
36,36,"Verified User
          현직원 · F***** · IT 기획·매니지먼트 전문가 - 2023.10.13",2023.10.13,Rating Score5.0,주니어가 성장하기 좋은 회사
37,37,"Verified User
          현직원 · P***** · IT 기획·매니지먼트 전문가 - 2023.10.10",2023.10.10,Rating Score5.0,전설의 부서 바이 부서
38,38,"Verified User
          현직원 · P***** · IT 엔지니어 - 2023.10.06",2023.10.06,Rating Score5.0,IT 최고의 회사
39,39,"Verified User
          현직원 · l***** · IT 기획·매니지먼트 전문가 - 2023.10.05",2023.10.05,Rating Score4.0,무난 무난
40,40,"Verified User
          현직원 · !********* · IT 엔지니어 - 2023.10.04",2023.10.04,Rating Score3.0,명분 허전이지만 워라밸은 다소 포기해야
41,41,"Verified User
          현직원 · h***** · IT 엔지니어 - 2023.10.03",2023.10.03,Rating Score4.0,신입으로 시작하기 좋은 회사
42,42,"Verified User
          현직원 · L***** · 경영전략·사업기획·분석전문가 - 2023.10.02",2023.10.02,Rating Score5.0,직원들을 진심으로 케어하는 회사
43,43,"Verified User
          현직원 · 차** · IT 디자이너 - 2023.09.26",2023.09.26,Rating Score4.0,열심히 하면 보상이 따름
44,44,"Verified User
          현직원 · t***** · IT 엔지니어 - 2023.09.26",2023.09.26,Rating Score5.0,좋다 좋다
45,45,"Verified User
          현직원 · 포**** · IT 기획·매니지먼트 전문가 - 2023.09.25",2023.09.25,Rating Score4.0,자유로워서 좋다
46,46,"Verified User
          현직원 · !******** · 경영전략·사업기획·분석전문가 - 2023.09.25",2023.09.25,Rating Score5.0,육각형 회사
47,47,"Verified User
          현직원 · d****** · IT 기획·매니지먼트 전문가 - 2023.09.23",2023.09.23,Rating Score5.0,스마트한 직원들이 강점인 회사
48,48,"Verified User
          현직원 · b********* · IT 엔지니어 - 2023.09.22",2023.09.22,Rating Score4.0,방향성이 모호한 회사
