,info,date,rating,title
0,"Verified User
          현직원 · j******** · 고객서비스 전문가 - 2023.11.02",2023.11.02,Rating Score2.0,조 씨만을 만을 위해 존재하는 회사
1,"Verified User
          현직원 · i********* · 항공운항·서비스 전문가 - 2023.11.12",2023.11.12,Rating Score4.0,수직적 구조
2,"Verified User
          현직원 · f********* · 항공운항·서비스 전문가 - 2023.11.12",2023.11.12,Rating Score3.0,나도 모르겠는 회사
3,"Verified User
          현직원 · W***** · 항공운항·서비스 전문가 - 2023.11.12",2023.11.12,Rating Score1.0,경영진만 바뀌면 괜찮을 회사
4,"Verified User
          현직원 · v***** · 생산엔지니어·생산관리 - 2023.11.10",2023.11.10,Rating Score1.0,또 입대하고 싶어?
5,"Verified User
          현직원 · f****** · 하드웨어 엔지니어 - 2023.11.08",2023.11.08,Rating Score1.0,"조 씨 아니면 오지 마세요"""
6,"Verified User
          현직원 · N***** · 항공운항·서비스 전문가 - 2023.11.07",2023.11.07,Rating Score4.0,안정적으로 다니기 좋은 회사
7,"Verified User
          현직원 · l******** · 생산엔지니어·생산관리 - 2023.11.06",2023.11.06,Rating Score4.0,가족이 좋아하는 회사
8,"Verified User
          현직원 · l******* · 경영지원·관리 전문가 - 2023.11.01",2023.11.01,Rating Score3.0,공무원이 되는 회사
9,"Verified User
          현직원 · E***** · IT 기획·매니지먼트 전문가 - 2023.10.25",2023.10.25,Rating Score3.0,워라밸은 보장되긴 아직은..
10,"Verified User
          현직원 · s***** · 항공운항·서비스 전문가 - 2023.10.24",2023.10.24,Rating Score3.0,영어 공부 열심히 해서 외항사로!
11,"Verified User
          현직원 · B**** · 항공운항·서비스 전문가 - 2023.10.24",2023.10.24,Rating Score1.0,워라밸 보장 안되는 회사
12,"Verified User
          현직원 · v******** · 항공운항·서비스 전문가 - 2023.10.20",2023.10.20,Rating Score2.0,대기업치고 띠 욕스러운 느낌
13,"Verified User
          현직원 · i******* · 고객서비스 전문가 - 2023.10.19",2023.10.19,Rating Score3.0,"너무 힘듦"""
14,"Verified User
          현직원 · I******* · 항공운항·서비스 전문가 - 2023.10.19",2023.10.19,Rating Score5.0,한국에서 다닐만함
15,"Verified User
          현직원 · j******* · 항공운항·서비스 전문가 - 2023.10.18",2023.10.18,Rating Score3.0,직원들은 정말 열심히 일함
16,"Verified User
          현직원 · t****** · 항공운항·서비스 전문가 - 2023.10.18",2023.10.18,Rating Score3.0,네임밸류
17,"Verified User
          현직원 · l****** · 항공운항·서비스 전문가 - 2023.10.17",2023.10.17,Rating Score3.0,"승무원 하면 워 라벨 보장되는 회사, 승무직이어야지 월급 많이 줌."""
18,"Verified User
          현직원 · l********* · 항공운항·서비스 전문가 - 2023.10.15",2023.10.15,Rating Score3.0,사람들이 좋은 회사로 알고 있는 등골 브레이커
19,"Verified User
          현직원 · i******** · 항공운항·서비스 전문가 - 2023.10.14",2023.10.14,Rating Score3.0,한국 항공사 중엔 탑
20,"Verified User
          현직원 · f***** · 항공운항·서비스 전문가 - 2023.10.08",2023.10.08,Rating Score1.0,최악이죠ㅠ
21,"Verified User
          현직원 · f***** · 연구개발(R&D) - 2023.10.07",2023.10.07,Rating Score4.0,네임밸류에 비해 항공 우주사업본부의 위상은 좀 아쉬움
22,"Verified User
          현직원 · 한******* · 경영전략·사업기획·분석전문가 - 2023.10.05",2023.10.05,Rating Score4.0,부부 부가 너무 심한 회사
23,"Verified User
          현직원 · K***** · 경영지원·관리 전문가 - 2023.09.29",2023.09.29,Rating Score2.0,나오면 갈 곳 없어지는 커리어
24,"Verified User
          현직원 · S******* · 항공운항·서비스 전문가 - 2023.09.29",2023.09.29,Rating Score3.0,그냥저냥 특이한 직장
25,"Verified User
          현직원 · 라***** · 연구개발(R&D) - 2023.09.26",2023.09.26,Rating Score3.0,돈 많으면 다니 좋음
26,"Verified User
          현직원 · I********* · 회계·세무·재무 전문가 - 2023.09.23",2023.09.23,Rating Score4.0,워라밸 좋음
27,"Verified User
          현직원 · u******** · 항공운항·서비스 전문가 - 2023.09.21",2023.09.21,Rating Score2.0,80년대 같은 조직문화
28,"Verified User
          현직원 · l********* · 항공운항·서비스 전문가 - 2023.09.12",2023.09.12,Rating Score1.0,사기 업계의 공무원
29,"Verified User
          현직원 · i********* · 하드웨어 엔지니어 - 2023.09.08",2023.09.08,Rating Score4.0,군대 문화 워 라벨 보장
30,"Verified User
          현직원 · e***** · 정보보안·IT보안 - 2023.09.05",2023.09.05,Rating Score3.0,복지도 별로
31,"Verified User
          현직원 · r***** · 항공운항·서비스 전문가 - 2023.08.23",2023.08.23,Rating Score4.0,워라밸 보장되고 정년이 보장되는 회사
32,"Verified User
          현직원 · ★*** · 생산엔지니어·생산관리 - 2023.08.21",2023.08.21,Rating Score2.0,경력 쌓기용
33,"Verified User
          전직원 · l********* · 경영지원·관리 전문가 - 2023.08.15",2023.08.15,Rating Score4.0,복지가 최고
34,"Verified User
          현직원 · !********* · 항공운항·서비스 전문가 - 2023.08.15",2023.08.15,Rating Score1.0,다른 회사 친구들보다 도태되어갈 수 있음
35,"Verified User
          현직원 · 슈***** · 구매·물류·SCM 전문가 - 2023.08.13",2023.08.13,Rating Score3.0,여러모로 아쉬운 회사
36,"Verified User
          현직원 · x***** · 항공운항·서비스 전문가 - 2023.08.12",2023.08.12,Rating Score4.0,공무원과 공기업을 닮은 회사
37,"Verified User
          현직원 · x***** · 하드웨어 엔지니어 - 2023.08.12",2023.08.12,Rating Score3.0,"워라밸은 괜찮으나 비전은 그다지"""
