,info,date,rating,title
0,"Verified User
          현직원 · I********* · 생산엔지니어·생산관리 - 2023.11.08",2023.11.08,Rating Score1.0,워라밸만 보장되는 회사
1,"Verified User
          현직원 · l******** · IT 엔지니어 - 2023.11.15",2023.11.15,Rating Score5.0,워라밸과 급여
2,"Verified User
          현직원 · 힘*** · 경영지원·관리 전문가 - 2023.11.15",2023.11.15,Rating Score5.0,좋은 회사임
3,"Verified User
          현직원 · O***** · 생산엔지니어·생산관리 - 2023.11.15",2023.11.15,Rating Score4.0,연차
4,"Verified User
          현직원 · 호** · 연구개발(R&D) - 2023.11.15",2023.11.15,Rating Score5.0,사람이 사는 회사
5,"Verified User
          현직원 · Y***** · 연구개발(R&D) - 2023.11.14",2023.11.14,Rating Score2.0,국내 자동차 1등 기업 거기가 끝이다
6,"Verified User
          현직원 · l********* · 연구개발(R&D) - 2023.11.14",2023.11.14,Rating Score5.0,팀 바이 팀이지만 자부심 갖고 다닐 수 있는 회사
7,"Verified User
          현직원 · 2****** · 생산엔지니어·생산관리 - 2023.11.14",2023.11.14,Rating Score5.0,산직 기준 모든 면에서 중간 이상 함
8,"Verified User
          현직원 · q***** · 경영전략·사업기획·분석전문가 - 2023.11.14",2023.11.14,Rating Score5.0,급여는 좋지만 워라밸은 좀 의문인 회사
9,"Verified User
          현직원 · l**** · 생산엔지니어·생산관리 - 2023.11.14",2023.11.14,Rating Score4.0,급여와 복지는 좋음
10,"Verified User
          현직원 · B***** · 하드웨어 엔지니어 - 2023.11.13",2023.11.13,Rating Score2.0,보고서에 ‘불가’라는 표현 불가한 회사
11,"Verified User
          현직원 · l********* · IT 기획·매니지먼트 전문가 - 2023.11.13",2023.11.13,Rating Score5.0,업무능력 향상과 다양한 경험을 해볼 수 있는 회사
12,"Verified User
          현직원 · S***** · 생산엔지니어·생산관리 - 2023.11.13",2023.11.13,Rating Score3.0,적당히 좋은 복지와 대기업 타이틀
13,"Verified User
          현직원 · o****** · 생산엔지니어·생산관리 - 2023.11.13",2023.11.13,Rating Score4.0,일반적인 대기업
14,"Verified User
          현직원 · v***** · 고객서비스 전문가 - 2023.11.13",2023.11.13,Rating Score4.0,워라밸이 좋은 회사
15,"Verified User
          현직원 · b***** · 생산엔지니어·생산관리 - 2023.11.12",2023.11.12,Rating Score2.0,워라밸이 가장 큰 장점
16,"Verified User
          현직원 · !******** · 연구개발(R&D) - 2023.11.12",2023.11.12,Rating Score2.0,훌륭한 워라밸
17,"Verified User
          현직원 · E***** · IT 엔지니어 - 2023.11.11",2023.11.11,Rating Score5.0,워라밸 좋은 회사
18,"Verified User
          현직원 · a***** · 생산엔지니어·생산관리 - 2023.11.11",2023.11.11,Rating Score3.0,돈 버는 곳
19,"Verified User
          현직원 · C***** · 품질관리·보증 전문가 - 2023.11.10",2023.11.10,Rating Score3.0,일반직 워라밸 최강
20,"Verified User
          현직원 · 서****** · 연구개발(R&D) - 2023.11.10",2023.11.10,Rating Score4.0,워라밸만 있는 회사
21,"Verified User
          현직원 · X***** · 생산엔지니어·생산관리 - 2023.11.10",2023.11.10,Rating Score5.0,급여 좋음
22,"Verified User
          현직원 · x**** · 생산엔지니어·생산관리 - 2023.11.10",2023.11.10,Rating Score4.0,그냥저냥 다니는 회사
23,"Verified User
          현직원 · i******* · 회계·세무·재무 전문가 - 2023.11.09",2023.11.09,Rating Score2.0,그냥저냥 적당히 다닐만한 회사 정도..
24,"Verified User
          현직원 · 1******** · 구매·물류·SCM 전문가 - 2023.11.09",2023.11.09,Rating Score4.0,나름 괜찮은 회사
25,"Verified User
          현직원 · 허*** · 생산엔지니어·생산관리 - 2023.11.09",2023.11.09,Rating Score4.0,역시나 제조업 분야에선 좋은 회사입니다
26,"Verified User
          현직원 · u***** · 경영지원·관리 전문가 - 2023.11.09",2023.11.09,Rating Score3.0,쏘 쏘
27,"Verified User
          현직원 · J***** · IT 기획·매니지먼트 전문가 - 2023.11.09",2023.11.09,Rating Score4.0,안정적인 대기업을 지향하는 사람이라면 환영
28,"Verified User
          현직원 · 휘***** · 경영지원·관리 전문가 - 2023.11.08",2023.11.08,Rating Score2.0,워라밸 적당히 보장되는 곳?
29,"Verified User
          현직원 · s***** · 연구개발(R&D) - 2023.11.08",2023.11.08,Rating Score3.0,워라밸만 좋은 회사
30,"Verified User
          현직원 · k***** · 경영지원·관리 전문가 - 2023.11.08",2023.11.08,Rating Score5.0,워라밸 대비 처우가 좋음
31,"Verified User
          현직원 · 1******** · IT 엔지니어 - 2023.11.07",2023.11.07,Rating Score2.0,정치개쩌는회사
32,"Verified User
          현직원 · i********* · IT 엔지니어 - 2023.11.07",2023.11.07,Rating Score3.0,현대 그 잡채
33,"Verified User
          현직원 · T***** · IT 엔지니어 - 2023.11.07",2023.11.07,Rating Score2.0,워라밸 보장
34,"Verified User
          현직원 · !********* · 구매·물류·SCM 전문가 - 2023.11.07",2023.11.07,Rating Score4.0,나쁘지 않지만 약간은 아쉬운 회사
35,"Verified User
          현직원 · I********* · 연구개발(R&D) - 2023.11.06",2023.11.06,Rating Score5.0,오고 싶었던 회사
36,"Verified User
          현직원 · 실** · 생산엔지니어·생산관리 - 2023.11.06",2023.11.06,Rating Score5.0,워라밸 보장
37,"Verified User
          현직원 · b***** · 품질관리·보증 전문가 - 2023.11.05",2023.11.05,Rating Score4.0,워라밸 적당한 회사
38,"Verified User
          현직원 · g***** · 연구개발(R&D) - 2023.11.05",2023.11.05,Rating Score3.0,"워라밸은 있지만 실적 대비 낮은 성과급, 커리어 발전은 어려운 회사"
39,"Verified User
          현직원 · E***** · 구매·물류·SCM 전문가 - 2023.11.05",2023.11.05,Rating Score1.0,사내 문화가 가장 큰 단점인 조직 안정적인 회사
40,"Verified User
          현직원 · 킹**** · 품질관리·보증 전문가 - 2023.11.04",2023.11.04,Rating Score3.0,무난 무난
41,"Verified User
          현직원 · b***** · 생산엔지니어·생산관리 - 2023.11.04",2023.11.04,Rating Score3.0,현장과의 불편한 동거
42,"Verified User
          현직원 · :****** · 연구개발(R&D) - 2023.11.04",2023.11.04,Rating Score4.0,좋아요
