info,date,rating,title,name,Unnamed: 0
마케팅·홍보 전문가,2023.11.07,2.0,내가 발전할 수 없는 회사,cjENM,
상품기획·MD·디자이너,2023.11.15,5.0,괜찮은 회사,cjENM,
마케팅·홍보 전문가,2023.11.10,3.0,오래 있기 어려운 곳,cjENM,
IT 엔지니어,2023.11.06,2.0,위태로운 회사,cjENM,
상품기획·MD·디자이너,2023.11.03,2.0,적당한 급여 / 적당히 다니기 괜찮은 곳,cjENM,
상품기획·MD·디자이너,2023.11.03,3.0,"복지가 좋다, 복지가 좋다, 복지가...",cjENM,
상품기획·MD·디자이너,2023.11.03,4.0,복지가 좋은 회사,cjENM,
상품기획·MD·디자이너,2023.11.03,3.0,하기에 따라 좋을 수도 안 좋을 수도 있는 회사 ,cjENM,
IT 엔지니어,2023.11.02,3.0,워라밸이 보장되는 회사,cjENM,
경영지원·관리 전문가,2023.11.01,2.0,안주하고 싶으면 남아있을 회사,cjENM,
마케팅·홍보 전문가,2023.10.31,4.0,자유로운 회사,cjENM,
상품기획·MD·디자이너,2023.10.27,4.0,적응하면 다닐만한 곳,cjENM,
마케팅·홍보 전문가,2023.10.27,4.0,복지 좋은 회사,cjENM,
IT 엔지니어,2023.10.27,5.0,커리어와 워라밸이 보장되는 회사,cjENM,
경영전략·사업기획·분석전문가,2023.10.26,2.0,"과거의 영광은 운이었을까,라는 생각이 많이 든다",cjENM,
영업 전문가,2023.10.26,5.0,딱히 불만이 없는 회사,cjENM,
경영전략·사업기획·분석전문가,2023.10.25,5.0,커리어 향상이 보장되는 회사,cjENM,
IT 디자이너,2023.10.25,2.0,장점 빼고 다 단점,cjENM,
경영지원·관리 전문가,2023.10.24,4.0,워라밸 보장 회사,cjENM,
경영지원·관리 전문가,2023.10.23,4.0,그냥저냥 다니기엔 나쁘지 않음,cjENM,
마케팅·홍보 전문가,2023.10.23,5.0,생각보다 평화로움,cjENM,
IT 디자이너,2023.10.22,3.0,워라밸은 좋음,cjENM,
마케팅·홍보 전문가,2023.10.20,4.0,장점과 단점이 극명한 회사,cjENM,
해외영업·사업개발·마케팅,2023.10.19,3.0,장단점 다 있음,cjENM,
경영지원·관리 전문가,2023.10.18,3.0,경영진이 젊어지고 있는 회사,cjENM,
경영전략·사업기획·분석전문가,2023.10.17,3.0,예전만 하지 못한 회사,cjENM,
IT 기획·매니지먼트 전문가,2023.10.16,2.0,바쁜 사람만 바쁜 곳,cjENM,
IT 엔지니어,2023.10.14,5.0,경영진 변경으로 과도기 ,cjENM,
IT 엔지니어,2023.10.12,5.0,생각보다 훌륭한 회사,cjENM,
경영전략·사업기획·분석전문가,2023.10.11,3.0,"워라밸은 팀 버팀, 배우고자 하는 의지가 있으면 성장할 수 있지만 지금 분위기는 아무것도 하지 말고 숨만 쉬라는 분위기",cjENM,
언론인,2023.10.10,3.0,CJ ENM,cjENM,
마케팅·홍보 전문가,2023.10.06,4.0,성장기회가 많은 회사,cjENM,
마케팅·홍보 전문가,2023.10.04,3.0,복지가 좋은 회사,cjENM,
경영전략·사업기획·분석전문가,2023.10.04,5.0,대한민국 대표하는 글로벌 종합 콘텐츠 기업,cjENM,
마케팅·홍보 전문가,2023.10.03,2.0,그야말로 고인물 파티,cjENM,
마케팅·홍보 전문가,2023.10.01,2.0,발전 없음,cjENM,
건축·공간 디자이너,2023.09.29,1.0,일한 만큼 못 받는 회사 ,cjENM,
회계·세무·재무 전문가,2023.09.29,4.0,워라밸이 보장되는 회사,cjENM,
경영지원·관리 전문가,2023.09.29,4.0,젊고 활기찬 분위기,cjENM,
경영지원·관리 전문가,2023.09.27,3.0,아쉽다,cjENM,
경영지원·관리 전문가,2023.09.26,3.0,대표 좀 그만 바뀌었으면,cjENM,
경영전략·사업기획·분석전문가,2023.09.25,3.0,재미는 있는데...,cjENM,
상품기획·MD·디자이너,2023.09.24,3.0,워라밸 보장되는 침몰 중인 회사,cjENM,
마케팅·홍보 전문가,2023.09.24,5.0,워라밸 좋은 편이고 회사 문화가 좋음,cjENM,
상품기획·MD·디자이너,2023.09.23,3.0,식비는 해결해 주지만 공채 연봉이 쥐꼬리,cjENM,
마케팅·홍보 전문가,2023.09.22,2.0,엔터인데 새로움이 없이 고여가는 회사,cjENM,
상품기획·MD·디자이너,2023.09.22,1.0,이게 cj라니,cjENM,
IT 기획·매니지먼트 전문가,2023.09.21,2.0,좋았던 과거의 추억만 남은 회사,cjENM,
경영전략·사업기획·분석전문가,2023.09.21,3.0,전략이 없는 회사,cjENM,
상품기획·MD·디자이너,2023.09.20,3.0,갈수록 떨어지는 회사,cjENM,
경영전략·사업기획·분석전문가,2023.09.17,2.0,엔터 경험하기 좋은 회사,cjENM,
마케팅·홍보 전문가,2023.09.15,4.0,워라밸 좋지만 부마부 급여는 글쎄,cjENM,
