info,date,rating,title,name
조선·해양 엔지니어,2023.11.27,1.0,최악의 기업문화 회사,HD현대중공업
조선·해양 엔지니어,2023.11.26,3.0,아직은 잘 모르겠다,HD현대중공업
경영지원·관리 전문가,2023.11.26,3.0,사회초년생이 경험 쌓기 좋은 회사,HD현대중공업
연구개발(R&D),2023.11.25,2.0,왜 사람들이 오지말라고 하는지 이해가 됨,HD현대중공업
생산엔지니어·생산관리,2023.11.25,2.0,야근이 당연한 회사,HD현대중공업
조선·해양 엔지니어,2023.11.24,2.0,관료주의 끝판왕,HD현대중공업
조선·해양 엔지니어,2023.11.24,3.0,워라밸이 보장되는 회사,HD현대중공업
구매·물류·SCM 전문가,2023.11.23,3.0,그냥 HD현대 그룹,HD현대중공업
조선·해양 엔지니어,2023.11.21,3.0,공무원같은 회사,HD현대중공업
연구개발(R&D),2023.11.20,5.0,워라밸이보장되는회사,HD현대중공업
생산엔지니어·생산관리,2023.11.17,3.0,워라벨 보장,HD현대중공업
건설 엔지니어,2023.11.14,2.0,조선업에서는 Top Tier. 대기업에선 Third Tier,HD현대중공업
생산엔지니어·생산관리,2023.11.13,2.0,사양산업. 미래가 불투명한 회사,HD현대중공업
조선·해양 엔지니어,2023.11.09,4.0,연구직의 경우 워라밸이 보장됨,HD현대중공업
연구개발(R&D),2023.11.08,4.0,좋은근무지 적당한급여,HD현대중공업
조선·해양 엔지니어,2023.11.08,2.0,워라벨이 요즘은 없는 회사,HD현대중공업
경영지원·관리 전문가,2023.11.07,3.0,수직적 문화,HD현대중공업
품질관리·보증 전문가,2023.11.06,1.0,일이 너무힘든회사,HD현대중공업
연구개발(R&D),2023.11.04,2.0,휴가많음 그뿐,HD현대중공업
품질관리·보증 전문가,2023.11.04,3.0,대기업의 기본은 되는 회사,HD현대중공업
건설 엔지니어,2023.11.03,3.0,너무 급한 회사,HD현대중공업
해외영업·사업개발·마케팅,2023.11.03,4.0,젊어지기엔 아직은 현대스러운 ,HD현대중공업
