,info,date,rating,title
0,"Verified User
          현직원 · i***** · 조선·해양 엔지니어 - 2023.11.27",2023.11.27,Rating Score1.0,“최악의 기업문화 회사”
1,"Verified User
          현직원 · i******* · 조선·해양 엔지니어 - 2023.11.26",2023.11.26,Rating Score3.0,“아직은 잘 모르겠다”
2,"Verified User
          현직원 · t***** · 경영지원·관리 전문가 - 2023.11.26",2023.11.26,Rating Score3.0,“사회초년생이 경험 쌓기 좋은 회사”
3,"Verified User
          현직원 · l******** · 연구개발(R&D) - 2023.11.25",2023.11.25,Rating Score2.0,“왜 사람들이 오지말라고 하는지 이해가 됨”
4,"Verified User
          현직원 · T***** · 생산엔지니어·생산관리 - 2023.11.25",2023.11.25,Rating Score2.0,“야근이 당연한 회사”
5,"Verified User
          현직원 · h*** · 조선·해양 엔지니어 - 2023.11.24",2023.11.24,Rating Score2.0,“관료주의 끝판왕”
6,"Verified User
          현직원 · t***** · 조선·해양 엔지니어 - 2023.11.24",2023.11.24,Rating Score3.0,“워라밸이 보장되는 회사”
7,"Verified User
          현직원 · 자*** · 구매·물류·SCM 전문가 - 2023.11.23",2023.11.23,Rating Score3.0,“그냥 HD현대 그룹”
8,"Verified User
          현직원 · O******* · 조선·해양 엔지니어 - 2023.11.21",2023.11.21,Rating Score3.0,“공무원같은 회사”
9,"Verified User
          현직원 · t***** · 연구개발(R&D) - 2023.11.20",2023.11.20,Rating Score5.0,“워라밸이보장되는회사”
10,"Verified User
          현직원 · j***** · 생산엔지니어·생산관리 - 2023.11.17",2023.11.17,Rating Score3.0,“워라벨 보장”
11,"Verified User
          현직원 · T******* · 건설 엔지니어 - 2023.11.14",2023.11.14,Rating Score2.0,“조선업에서는 Top Tier. 대기업에선 Third Tier”
12,"Verified User
          현직원 · 우** · 생산엔지니어·생산관리 - 2023.11.13",2023.11.13,Rating Score2.0,“사양산업. 미래가 불투명한 회사”
13,"Verified User
          현직원 · k******* · 조선·해양 엔지니어 - 2023.11.09",2023.11.09,Rating Score4.0,“연구직의 경우 워라밸이 보장됨”
14,"Verified User
          현직원 · Q***** · 연구개발(R&D) - 2023.11.08",2023.11.08,Rating Score4.0,“좋은근무지 적당한급여”
15,"Verified User
          현직원 · T***** · 조선·해양 엔지니어 - 2023.11.08",2023.11.08,Rating Score2.0,“워라벨이 요즘은 없는 회사”
16,"Verified User
          현직원 · r***** · 경영지원·관리 전문가 - 2023.11.07",2023.11.07,Rating Score3.0,“수직적 문화”
17,"Verified User
          현직원 · 책** · 품질관리·보증 전문가 - 2023.11.06",2023.11.06,Rating Score1.0,“일이 너무힘든회사”
18,"Verified User
          현직원 · @******** · 연구개발(R&D) - 2023.11.04",2023.11.04,Rating Score2.0,“휴가많음 그뿐”
19,"Verified User
          현직원 · J***** · 품질관리·보증 전문가 - 2023.11.04",2023.11.04,Rating Score3.0,“대기업의 기본은 되는 회사”
20,"Verified User
          현직원 · 뉴** · 건설 엔지니어 - 2023.11.03",2023.11.03,Rating Score3.0,“너무 급한 회사”
21,"Verified User
          현직원 · K******* · 해외영업·사업개발·마케팅 - 2023.11.03",2023.11.03,Rating Score4.0,“젊어지기엔 아직은 현대스러운 ”
22,"Verified User
          현직원 · 지***** · 법무·지적재산권 전문가 - 2023.11.01",2023.11.01,Rating Score5.0,“그냥 먹고살만한 수준”
23,"Verified User
          현직원 · 오* · 생산엔지니어·생산관리 - 2023.11.01",2023.11.01,Rating Score3.0,“많이 좋아진 회사”
24,"Verified User
          현직원 · 하******* · 품질관리·보증 전문가 - 2023.10.29",2023.10.29,Rating Score2.0,“대기업 탈을쓴 중견기업”
25,"Verified User
          현직원 · H********* · 연구개발(R&D) - 2023.10.29",2023.10.29,Rating Score4.0,“엔지니어로 성장하려면 무한한 영역이 펼쳐져 있음”
26,"Verified User
          현직원 · 채** · 회계·세무·재무 전문가 - 2023.10.29",2023.10.29,Rating Score5.0,“워라밸이 보장되는 회사”
27,"Verified User
          현직원 · d**** · 생산엔지니어·생산관리 - 2023.10.29",2023.10.29,Rating Score4.0,“욕심 버리면 맘놓고 다니기 좋음”
28,"Verified User
          현직원 · j********* · 조선·해양 엔지니어 - 2023.10.29",2023.10.29,Rating Score1.0,“군대보다 현대”
