,info,date,rating,title
0,"Verified User
          현직원 · d******* · 해외영업·사업개발·마케팅 - 2023.11.23",2023.11.23,Rating Score2.0,“어르신들에게 치이는 회사”
1,"Verified User
          현직원 · q***** · 구매·물류·SCM 전문가 - 2023.11.27",2023.11.27,Rating Score4.0,“무난한 회사”
2,"Verified User
          현직원 · x***** · 회계·세무·재무 전문가 - 2023.11.04",2023.11.04,Rating Score4.0,“워라밸이 보증되는 회사”
3,"Verified User
          현직원 · a***** · 경영지원·관리 전문가 - 2023.10.18",2023.10.18,Rating Score4.0,“워라밸이 보장되는 회사”
4,"Verified User
          현직원 · 뿝** · 해외영업·사업개발·마케팅 - 2023.10.17",2023.10.17,Rating Score4.0,“코로나 특수 이후 많이 치고올라온 회사”
5,"Verified User
          현직원 · q******* · 구매·물류·SCM 전문가 - 2023.10.02",2023.10.02,Rating Score4.0,"“초봉 많이 높아짐, 근데 이제 흠슬라 시대는 지난..”"
6,"Verified User
          현직원 · g********* · 해외영업·사업개발·마케팅 - 2023.09.19",2023.09.19,Rating Score4.0,“부바부 차이 심함”
7,"Verified User
          현직원 · k***** · 영업 전문가 - 2023.09.16",2023.09.16,Rating Score4.0,“야근없음”
8,"Verified User
          현직원 · L***** · 해외영업·사업개발·마케팅 - 2023.09.10",2023.09.10,Rating Score5.0,“전반적으로 괜찮은 회사”
9,"Verified User
          전직원 · a****** · 영업 전문가 - 2023.09.05",2023.09.05,Rating Score1.0,“워라벨최고 일많지않음 칼퇴보장 업무스트레스 거의없는 고인물 판”
10,"Verified User
          현직원 · L***** · 영업 전문가 - 2023.08.22",2023.08.22,Rating Score4.0,“유일한 국적선사의 메리트”
11,"Verified User
          현직원 · t***** · 해외영업·사업개발·마케팅 - 2023.08.22",2023.08.22,Rating Score3.0,“워라벨 굿”
12,"Verified User
          현직원 · j**** · 해외영업·사업개발·마케팅 - 2023.08.22",2023.08.22,Rating Score4.0,“배려외 협력이 잘되는 회사 ”
13,"Verified User
          현직원 · 김* · 구매·물류·SCM 전문가 - 2023.08.19",2023.08.19,Rating Score3.0,“워라밸좋고 돈 잘줌”
14,"Verified User
          현직원 · l***** · 영업 전문가 - 2023.08.15",2023.08.15,Rating Score3.0,“워라밸이 보장되는 회사”
15,"Verified User
          현직원 · ㅋ****** · 영업 전문가 - 2023.08.09",2023.08.09,Rating Score1.0,“팀바팀이지만 워라벨만 인정 ”
16,"Verified User
          현직원 · j****** · 해외영업·사업개발·마케팅 - 2023.07.26",2023.07.26,Rating Score4.0,“워라밸 좋고 요즘 급여도 좋음”
17,"Verified User
          현직원 · b***** · 영업 전문가 - 2023.07.25",2023.07.25,Rating Score3.0,“커리어욕심없으면 그럭저럭 다닐만하다”
18,"Verified User
          현직원 · j******** · IT 엔지니어 - 2023.07.06",2023.07.06,Rating Score5.0,“나쁘지않은 회사”
19,"Verified User
          현직원 · D******** · 경영전략·사업기획·분석전문가 - 2023.07.05",2023.07.05,Rating Score5.0,"“국제적, 전문성 있는 기간산업”"
20,"Verified User
          현직원 · 러**** · IT 엔지니어 - 2023.07.04",2023.07.04,Rating Score3.0,“거의 공기업”
21,"Verified User
          현직원 · e***** · 해외영업·사업개발·마케팅 - 2023.07.03",2023.07.03,Rating Score2.0,“리더가 없는 회사”
22,"Verified User
          현직원 · F***** · 해외영업·사업개발·마케팅 - 2023.07.03",2023.07.03,Rating Score5.0,“워리벨이 좋다”
23,"Verified User
          현직원 · I***** · 경영전략·사업기획·분석전문가 - 2023.06.24",2023.06.24,Rating Score4.0,“가성비를 따지면 나쁘지 않은 회사”
24,"Verified User
          현직원 · h****** · 구매·물류·SCM 전문가 - 2023.06.21",2023.06.21,Rating Score3.0,“워라밸은 보장”
25,"Verified User
          현직원 · q**** · 구매·물류·SCM 전문가 - 2023.06.16",2023.06.16,Rating Score4.0,“워라벨 좋음”
26,"Verified User
          현직원 · ㅎ**** · 영업 전문가 - 2023.06.08",2023.06.08,Rating Score3.0,“박힌돌이 너무 많은 회사”
27,"Verified User
          현직원 · o***** · 법무·지적재산권 전문가 - 2023.05.31",2023.05.31,Rating Score4.0,“그래도 국내 해운회사 중에선 밸런스 좋은 편”
28,"Verified User
          현직원 · f***** · IT 기획·매니지먼트 전문가 - 2023.05.27",2023.05.27,Rating Score3.0,“국내최대 해운선사로 안정성 보장”
29,"Verified User
          현직원 · Q***** · 회계·세무·재무 전문가 - 2023.05.12",2023.05.12,Rating Score3.0,“좋아지고 있긴한데...”
30,"Verified User
          현직원 · V***** · 경영전략·사업기획·분석전문가 - 2023.05.06",2023.05.06,Rating Score4.0,“워라밸은 괜찮은 편”
31,"Verified User
          현직원 · &**** · 구매·물류·SCM 전문가 - 2023.05.01",2023.05.01,Rating Score4.0,“괜찮은 회사. 급여도 많이 오르고 워라벨 괜찮은 편이고 주재원 기회도 많음”
