,info,date,rating,title
0,"Verified User
          현직원 · i******** · 연구개발(R&D) - 2023.11.23",2023.11.23,Rating Score1.0,“총체적 난국인 곳”
1,"Verified User
          현직원 · i********* · 구매·물류·SCM 전문가 - 2023.11.27",2023.11.27,Rating Score2.0,“워라밸 케바케”
2,"Verified User
          현직원 · !***** · 연구개발(R&D) - 2023.11.27",2023.11.27,Rating Score2.0,“돈많은사람들이 다니기 좋은 회사”
3,"Verified User
          현직원 · 말******* · 연구개발(R&D) - 2023.11.26",2023.11.26,Rating Score2.0,“첫회사로 나쁘지 않은 회사”
4,"Verified User
          현직원 · 후*** · IT 엔지니어 - 2023.11.26",2023.11.26,Rating Score5.0,“워라벨이 보장되는 회사”
5,"Verified User
          현직원 · q***** · 회계·세무·재무 전문가 - 2023.11.26",2023.11.26,Rating Score4.0,“전체적인 밸런스가 좋은 회사”
6,"Verified User
          현직원 · o***** · 연구개발(R&D) - 2023.11.25",2023.11.25,Rating Score2.0,“신입때도 일 많이 할 수 있어서 역량강화는 되나 과로가 심함”
7,"Verified User
          현직원 · A***** · 경영전략·사업기획·분석전문가 - 2023.11.24",2023.11.24,Rating Score5.0,“인화문화가 남은 몇안되는 대기업”
8,"Verified User
          현직원 · t***** · 경영지원·관리 전문가 - 2023.11.24",2023.11.24,Rating Score4.0,“워라벨만 보장되는 회사”
9,"Verified User
          현직원 · l******** · IT 엔지니어 - 2023.11.23",2023.11.23,Rating Score5.0,“워라벨이 보장되는 회사”
10,"Verified User
          현직원 · g***** · 영업 전문가 - 2023.11.23",2023.11.23,Rating Score3.0,“봉사하는 한영본”
11,"Verified User
          전직원 · N***** · IT 엔지니어 - 2023.11.23",2023.11.23,Rating Score3.0,“개발이면 힘들어요 ”
12,"Verified User
          현직원 · !****** · 연구개발(R&D) - 2023.11.23",2023.11.23,Rating Score5.0,“재택근무”
13,"Verified User
          현직원 · 화******* · 연구개발(R&D) - 2023.11.22",2023.11.22,Rating Score4.0,“상과벌이 약한회사”
14,"Verified User
          현직원 · i**** · 구매·물류·SCM 전문가 - 2023.11.22",2023.11.22,Rating Score3.0,“그냥저냥 괜찮음”
15,"Verified User
          현직원 · !******** · IT 엔지니어 - 2023.11.21",2023.11.21,Rating Score3.0,“워라벨이 보장되기는하나..”
16,"Verified User
          현직원 · r***** · 연구개발(R&D) - 2023.11.20",2023.11.20,Rating Score1.0,“미꾸라지 하나가 개울을 흐리는 줄 알았는데 애초에 물이 썩어있었음”
17,"Verified User
          현직원 · c***** · IT 엔지니어 - 2023.11.20",2023.11.20,Rating Score4.0,“워라밸이 괜찮은 회사”
18,"Verified User
          현직원 · f*** · 회계·세무·재무 전문가 - 2023.11.19",2023.11.19,Rating Score4.0,“안정적으로 다닐 수 있는 회사”
19,"Verified User
          현직원 · 애*** · 연구개발(R&D) - 2023.11.19",2023.11.19,Rating Score4.0,“부사부 심한 회사”
20,"Verified User
          현직원 · o***** · 영업 전문가 - 2023.11.18",2023.11.18,Rating Score3.0,“모난 사람이 적은 회사”
21,"Verified User
          현직원 · r***** · 경영전략·사업기획·분석전문가 - 2023.11.18",2023.11.18,Rating Score3.0,“Soso”
22,"Verified User
          현직원 · B***** · 경영지원·관리 전문가 - 2023.11.18",2023.11.18,Rating Score5.0,“하는만큼 받는 회사”
23,"Verified User
          현직원 · l********* · IT 엔지니어 - 2023.11.18",2023.11.18,Rating Score4.0,“부바부 팀바팀”
24,"Verified User
          현직원 · M**** · 연구개발(R&D) - 2023.11.18",2023.11.18,Rating Score2.0,“내 생각과는 다른 업무를 하는 회사”
25,"Verified User
          현직원 · l**** · 연구개발(R&D) - 2023.11.18",2023.11.18,Rating Score2.0,“개발팀이면 일이 많아서 성장할 수 있다.”
26,"Verified User
          현직원 · G***** · 경영지원·관리 전문가 - 2023.11.16",2023.11.16,Rating Score4.0,“전체적으로 봤을때 나쁘지 않은 대기업”
27,"Verified User
          현직원 · デ*** · 구매·물류·SCM 전문가 - 2023.11.16",2023.11.16,Rating Score3.0,“대한민국 대기업의 현실”
28,"Verified User
          현직원 · \***** · 연구개발(R&D) - 2023.11.15",2023.11.15,Rating Score3.0,“장단점이 있는것”
29,"Verified User
          현직원 · P***** · 연구개발(R&D) - 2023.11.15",2023.11.15,Rating Score3.0,“케바케지만 워라밸은 존중되는 평”
30,"Verified User
          현직원 · I***** · IT 엔지니어 - 2023.11.14",2023.11.14,Rating Score3.0,“워라밸이 보장되는 회사”
31,"Verified User
          현직원 · b***** · 연구개발(R&D) - 2023.11.14",2023.11.14,Rating Score2.0,“경상도 지역 거주자에겐 괜찮은 기업”
32,"Verified User
          현직원 · l******** · 연구개발(R&D) - 2023.11.14",2023.11.14,Rating Score3.0,“그냥 그런 회사”
33,"Verified User
          현직원 · l***** · 연구개발(R&D) - 2023.11.13",2023.11.13,Rating Score4.0,“점점 좋아지고 있는 회사”
34,"Verified User
          현직원 · 세******* · 품질관리·보증 전문가 - 2023.11.12",2023.11.12,Rating Score5.0,“워라밸이 보장되는 회사”
35,"Verified User
          현직원 · d***** · 연구개발(R&D) - 2023.11.11",2023.11.11,Rating Score5.0,“그냥 다니기엔 괜찮은 회사”
36,"Verified User
          현직원 · 1******** · IT 엔지니어 - 2023.11.11",2023.11.11,Rating Score1.0,“꼰대 그 자체”
37,"Verified User
          현직원 · 쪼** · 생산엔지니어·생산관리 - 2023.11.11",2023.11.11,Rating Score3.0,“부바부지만 창원임에도 난 좋은 부서라 ㄱㅊ함”
38,"Verified User
          현직원 · i******* · IT 엔지니어 - 2023.11.11",2023.11.11,Rating Score4.0,“워라벨 극강 조직문화 좋음”
39,"Verified User
          현직원 · t***** · 구매·물류·SCM 전문가 - 2023.11.10",2023.11.10,Rating Score2.0,“의사결정하는데 한세월 걸리는 회사”
40,"Verified User
          현직원 · j********* · IT 엔지니어 - 2023.11.09",2023.11.09,Rating Score3.0,“눈치안보고 연차쓸수 있음”
41,"Verified User
          현직원 · 람** · 구매·물류·SCM 전문가 - 2023.11.09",2023.11.09,Rating Score2.0,“오래는 못 다니겠다”
42,"Verified User
          현직원 · s***** · 연구개발(R&D) - 2023.11.08",2023.11.08,Rating Score4.0,“가산은 좋음”
43,"Verified User
          현직원 · d******** · IT 엔지니어 - 2023.11.07",2023.11.07,Rating Score3.0,“엘무원”
44,"Verified User
          현직원 · +*** · 연구개발(R&D) - 2023.11.07",2023.11.07,Rating Score3.0,“일 빡세게 한번 해보실분”
45,"Verified User
          현직원 · I****** · 연구개발(R&D) - 2023.11.07",2023.11.07,Rating Score2.0,“이름만 대기업”
46,"Verified User
          현직원 · f***** · 연구개발(R&D) - 2023.11.06",2023.11.06,Rating Score3.0,“창원 기준 신입 돈모으기 좋음”
47,"Verified User
          현직원 · c***** · 구매·물류·SCM 전문가 - 2023.11.06",2023.11.06,Rating Score3.0,“대기업 경험 할 수 있는 회사”
48,"Verified User
          전직원 · c****** · 상품기획·MD·디자이너 - 2023.11.06",2023.11.06,Rating Score4.0,“좋지도 않은데 사실 나쁘지도 않음”
49,"Verified User
          현직원 · y******* · IT 엔지니어 - 2023.11.05",2023.11.05,Rating Score4.0,“워킹맘들이 다니기 편한 회사”
50,"Verified User
          현직원 · 끝********* · IT 기획·매니지먼트 전문가 - 2023.11.05",2023.11.05,Rating Score4.0,“오래다닐수있는 대기업”
51,"Verified User
          현직원 · B***** · IT 엔지니어 - 2023.11.05",2023.11.05,Rating Score5.0,“워라밸이 보장되는 회사”
52,"Verified User
          현직원 · h***** · 경영지원·관리 전문가 - 2023.11.04",2023.11.04,Rating Score4.0,“신입에겐 배울 게 많은 회사”
53,"Verified User
          현직원 · i***** · IT 엔지니어 - 2023.11.04",2023.11.04,Rating Score1.0,“탈쥐는 지능순”
54,"Verified User
          현직원 · :******* · 경영지원·관리 전문가 - 2023.11.03",2023.11.03,Rating Score1.0,“워라벨 보장빼곤 장점찾기힘듬 ”
55,"Verified User
          현직원 · o***** · 구매·물류·SCM 전문가 - 2023.11.03",2023.11.03,Rating Score3.0,“일을 배울 수 있는 회사”
56,"Verified User
          현직원 · b***** · 품질관리·보증 전문가 - 2023.11.03",2023.11.03,Rating Score3.0,“방향성을 찾아야함”
57,"Verified User
          현직원 · R***** · 경영지원·관리 전문가 - 2023.11.03",2023.11.03,Rating Score3.0,“나쁘진 않은데 좋지도 않은”
58,"Verified User
          현직원 · 나* · 경영전략·사업기획·분석전문가 - 2023.11.03",2023.11.03,Rating Score4.0,“무난하게 다니기 좋은 회사”
59,"Verified User
          현직원 · t***** · 연구개발(R&D) - 2023.11.02",2023.11.02,Rating Score2.0,“일단은 대기업”
60,"Verified User
          현직원 · ㅜ******* · 생산엔지니어·생산관리 - 2023.11.02",2023.11.02,Rating Score5.0,“괜찮은 회사”
61,"Verified User
          현직원 · !******** · 연구개발(R&D) - 2023.11.01",2023.11.01,Rating Score3.0,“워라밸은 부바부 사람들 좋음 인사제도가 구멍임”
62,"Verified User
          현직원 · a***** · 상품기획·MD·디자이너 - 2023.11.01",2023.11.01,Rating Score3.0,“그냥 고만고만”
63,"Verified User
          현직원 · e***** · 연구개발(R&D) - 2023.11.01",2023.11.01,Rating Score2.0,“워라벨 보장”
64,"Verified User
          현직원 · c***** · IT 엔지니어 - 2023.10.31",2023.10.31,Rating Score2.0,“얼레벌레 일하며 돈도 적게 주는데 일은 다른데 보다 많이 시키면서 퇴직자한테 왜나가는지 캐묻기만 하는 회사”
65,"Verified User
          현직원 · B***** · IT 기획·매니지먼트 전문가 - 2023.10.31",2023.10.31,Rating Score1.0,“임원만을 위한 회사”
