,info,date,rating,title
0,"Verified User
          현직원 · g********* · 생산엔지니어·생산관리 - 2023.10.19",2023.10.19,Rating Score2.0,“경영진이 정년 보장으로 조직문화가 바뀌지 않는 회사”
1,"Verified User
          현직원 · 삼******** · 경영전략·사업기획·분석전문가 - 2023.11.25",2023.11.25,Rating Score5.0,"“좋음, 진짜 좋음”"
2,"Verified User
          현직원 · g*** · 생산엔지니어·생산관리 - 2023.11.22",2023.11.22,Rating Score4.0,“돈은 많이줌”
3,"Verified User
          현직원 · ㅇ***** · 생산엔지니어·생산관리 - 2023.11.06",2023.11.06,Rating Score4.0,"“폐쇄적, 족보타령, 돈 잘 줌”"
4,"Verified User
          현직원 · h****** · 환경·안전·보건 전문가 - 2023.10.24",2023.10.24,Rating Score5.0,“급여만족”
5,"Verified User
          현직원 · p***** · 경영지원·관리 전문가 - 2023.10.18",2023.10.18,Rating Score3.0,“잘 모르겠음”
6,"Verified User
          현직원 · I***** · 구매·물류·SCM 전문가 - 2023.10.18",2023.10.18,Rating Score5.0,“워라밸이 보장되는 회사”
7,"Verified User
          현직원 · l********* · 영업 전문가 - 2023.10.18",2023.10.18,Rating Score5.0,“이직욕구 안 드는 회사”
8,"Verified User
          현직원 · l******* · 경영지원·관리 전문가 - 2023.10.12",2023.10.12,Rating Score3.0,“부바부”
9,"Verified User
          현직원 · 대***** · 경영지원·관리 전문가 - 2023.10.12",2023.10.12,Rating Score4.0,“경영진만 바뀌면 좋은 회사”
10,"Verified User
          현직원 · n***** · 회계·세무·재무 전문가 - 2023.10.09",2023.10.09,Rating Score4.0,“만족스러운 급여 및 복지”
11,"Verified User
          현직원 · z***** · 경영지원·관리 전문가 - 2023.09.25",2023.09.25,Rating Score4.0,“욕심없다면 좋은회사”
12,"Verified User
          현직원 · w******** · 생산엔지니어·생산관리 - 2023.09.23",2023.09.23,Rating Score4.0,“무난히 괜찮은 회사”
13,"Verified User
          현직원 · K***** · 생산엔지니어·생산관리 - 2023.09.16",2023.09.16,Rating Score4.0,“무난하게 다니기 좋음”
14,"Verified User
          현직원 · d******* · 생산엔지니어·생산관리 - 2023.09.08",2023.09.08,Rating Score4.0,“이직하고 싶다는 생각은 안해봤다 ”
15,"Verified User
          현직원 · 또**** · 생산엔지니어·생산관리 - 2023.09.02",2023.09.02,Rating Score4.0,“기름집은 기름집이다. 다만 경영진이 바뀌지 않는다.”
16,"Verified User
          현직원 · d***** · 경영지원·관리 전문가 - 2023.08.25",2023.08.25,Rating Score3.0,“돈 그리고 워라밸”
17,"Verified User
          현직원 · t***** · 생산엔지니어·생산관리 - 2023.08.23",2023.08.23,Rating Score5.0,“오일머니 좋아요”
18,"Verified User
          현직원 · z******** · 해외영업·사업개발·마케팅 - 2023.08.22",2023.08.22,Rating Score3.0,"“나이스하게 보수적인, 경직되었으나 돈은 꽤 주는 회사”"
