,info,date,rating,title
0,"Verified User
          현직원 · i******** · 고객서비스 전문가 - 2023.08.24",2023.08.24,Rating Score2.0,“복지말곤....”
1,"Verified User
          현직원 · l********* · IT 엔지니어 - 2023.11.23",2023.11.23,Rating Score5.0,“급여가 보장되는회사”
2,"Verified User
          현직원 · s******* · IT 엔지니어 - 2023.11.23",2023.11.23,Rating Score5.0,“워라벨 얻고 커리어 포기”
3,"Verified User
          현직원 · P***** · IT 엔지니어 - 2023.11.23",2023.11.23,Rating Score5.0,“워라밸이 좋은 회사”
4,"Verified User
          현직원 · |******** · IT 엔지니어 - 2023.11.22",2023.11.22,Rating Score4.0,“워라벨 보장 되는 회사”
5,"Verified User
          현직원 · s**** · IT 엔지니어 - 2023.11.22",2023.11.22,Rating Score5.0,“좋은 화사”
6,"Verified User
          현직원 · F***** · 고객서비스 전문가 - 2023.11.21",2023.11.21,Rating Score5.0,“워라벨이 보장되는회사”
7,"Verified User
          현직원 · b****** · IT 엔지니어 - 2023.11.18",2023.11.18,Rating Score4.0,“워라벨 좋음”
8,"Verified User
          현직원 · W***** · 경영전략·사업기획·분석전문가 - 2023.11.18",2023.11.18,Rating Score4.0,“워라벨과 복지는 좋으나 커리어상에선 별로”
9,"Verified User
          현직원 · i********* · IT 엔지니어 - 2023.11.17",2023.11.17,Rating Score4.0,“복지가 좋은 회사”
10,"Verified User
          현직원 · i********* · 경영전략·사업기획·분석전문가 - 2023.11.13",2023.11.13,Rating Score3.0,“광팔이가 판을치는 미래가 없는 회사”
11,"Verified User
          현직원 · A***** · IT 엔지니어 - 2023.11.13",2023.11.13,Rating Score4.0,“워라밸”
12,"Verified User
          현직원 · I***** · IT 엔지니어 - 2023.11.12",2023.11.12,Rating Score4.0,“대우가 좋은회사”
13,"Verified User
          현직원 · A***** · IT 기획·매니지먼트 전문가 - 2023.11.07",2023.11.07,Rating Score5.0,“어떤 부분이든 거-의 최고 ”
14,"Verified User
          현직원 · i******* · IT 엔지니어 - 2023.11.07",2023.11.07,Rating Score4.0,“큰 욕심 없으면 나름 재밌게 다닐 수 있는 회사”
15,"Verified User
          현직원 · i******* · 마케팅·홍보 전문가 - 2023.11.02",2023.11.02,Rating Score5.0,“워라벨 짱”
16,"Verified User
          현직원 · ÷******** · IT 엔지니어 - 2023.10.28",2023.10.28,Rating Score4.0,“복지로 시작해서 복지로 끝나는 회사”
17,"Verified User
          현직원 · w***** · IT 엔지니어 - 2023.10.22",2023.10.22,Rating Score3.0,“워라밸이 보장되는 회사”
18,"Verified User
          현직원 · q***** · IT 엔지니어 - 2023.10.22",2023.10.22,Rating Score4.0,“워라벨은 확실하다”
19,"Verified User
          현직원 · 떡*** · IT 엔지니어 - 2023.10.16",2023.10.16,Rating Score5.0,“급여ㅡ워라벨ㅡ복지 굿”
20,"Verified User
          현직원 · e***** · 마케팅·홍보 전문가 - 2023.10.15",2023.10.15,Rating Score4.0,“워라밸 복지 굿 / 커리어는 없다”
21,"Verified User
          현직원 · G***** · IT 엔지니어 - 2023.10.13",2023.10.13,Rating Score5.0,“만족스러운 회사”
22,"Verified User
          현직원 · S***** · IT 기획·매니지먼트 전문가 - 2023.10.12",2023.10.12,Rating Score5.0,“워라밸 좋고 업무 대비 경쟁력있는 연봉”
23,"Verified User
          현직원 · l******** · IT 엔지니어 - 2023.10.12",2023.10.12,Rating Score4.0,“확실히 대기업이다.”
24,"Verified User
          현직원 · 에**** · 마케팅·홍보 전문가 - 2023.10.12",2023.10.12,Rating Score4.0,“워라밸은 정말 최상 ”
25,"Verified User
          현직원 · 알******* · IT 기획·매니지먼트 전문가 - 2023.10.11",2023.10.11,Rating Score4.0,“이만한 처우에 이만한 워라밸을 가진 회사가 또 있을까”
26,"Verified User
          현직원 · f****** · 경영지원·관리 전문가 - 2023.10.06",2023.10.06,Rating Score4.0,“워라밸이 좋은 회사”
27,"Verified User
          현직원 · 길***** · IT 엔지니어 - 2023.10.06",2023.10.06,Rating Score4.0,“극강의 워라벨을 추구할수 있지만 커리어 향상을 위해서는 많은 노력을 해야 함”
28,"Verified User
          현직원 · d******* · IT 엔지니어 - 2023.10.05",2023.10.05,Rating Score4.0,“워라벨은 괜찮은 회사”
29,"Verified User
          현직원 · G***** · IT 엔지니어 - 2023.10.04",2023.10.04,Rating Score5.0,“아주 무난히 좋은회사”
30,"Verified User
          현직원 · v***** · 마케팅·홍보 전문가 - 2023.09.29",2023.09.29,Rating Score5.0,“워라밸의 끝판왕 ”
31,"Verified User
          현직원 · U****** · IT 엔지니어 - 2023.09.24",2023.09.24,Rating Score4.0,“대한민국 탑티어 대기업”
32,"Verified User
          현직원 · i******* · IT 기획·매니지먼트 전문가 - 2023.09.21",2023.09.21,Rating Score1.0,“따뜻한 담요에서 바보되는 회사”
33,"Verified User
          현직원 · l******** · 경영지원·관리 전문가 - 2023.09.17",2023.09.17,Rating Score4.0,“자유롭지만 종종 혼란스러운”
34,"Verified User
          현직원 · I********* · IT 기획·매니지먼트 전문가 - 2023.09.13",2023.09.13,Rating Score5.0,“능력없는 경영진때문에 죽어가는 회사”
35,"Verified User
          현직원 · 휘****** · 경영지원·관리 전문가 - 2023.09.13",2023.09.13,Rating Score4.0,“워라벨이 보장되는 회사”
36,"Verified User
          현직원 · C***** · 경영전략·사업기획·분석전문가 - 2023.09.12",2023.09.12,Rating Score5.0,“업무 강도는 어느 정도 높은편이나 상대적으로 더 큰 보상”
37,"Verified User
          현직원 · w********* · 경영지원·관리 전문가 - 2023.09.12",2023.09.12,Rating Score5.0,“워라벨은 정말 최고”
38,"Verified User
          현직원 · a***** · IT 엔지니어 - 2023.09.09",2023.09.09,Rating Score5.0,“훌륭한 워라벨과 보상”
39,"Verified User
          현직원 · l********* · 경영지원·관리 전문가 - 2023.09.08",2023.09.08,Rating Score3.0,“꼰대회사”
40,"Verified User
          현직원 · X***** · 연구개발(R&D) - 2023.09.07",2023.09.07,Rating Score5.0,“최고의 직장”
41,"Verified User
          현직원 · M***** · IT 엔지니어 - 2023.09.07",2023.09.07,Rating Score4.0,“해피 프라이데이”
42,"Verified User
          현직원 · j****** · 경영지원·관리 전문가 - 2023.09.06",2023.09.06,Rating Score5.0,“워라벨 보장”
43,"Verified User
          현직원 · a******** · IT 엔지니어 - 2023.09.06",2023.09.06,Rating Score3.0,“워라벨 최강이나 늙은 구성원과 무능한 경영진”
44,"Verified User
          현직원 · 월******* · IT 엔지니어 - 2023.09.05",2023.09.05,Rating Score5.0,“우리나라에 여기보다 좋은 회사가 몇군데 없음”
45,"Verified User
          현직원 · o***** · 해외영업·사업개발·마케팅 - 2023.08.30",2023.08.30,Rating Score5.0,“계속 고민해야하는 회사 ”
46,"Verified User
          현직원 · O***** · IT 엔지니어 - 2023.08.28",2023.08.28,Rating Score4.0,“다 아는 그 회사”
47,"Verified User
          현직원 · Q***** · IT 기획·매니지먼트 전문가 - 2023.08.27",2023.08.27,Rating Score4.0,“편하게 살긴좋은회사”
48,"Verified User
          현직원 · 엨** · 회계·세무·재무 전문가 - 2023.08.25",2023.08.25,Rating Score4.0,“워라벨”
49,"Verified User
          현직원 · p***** · IT 기획·매니지먼트 전문가 - 2023.08.25",2023.08.25,Rating Score4.0,“나는 누구? 여긴 어디?”
50,"Verified User
          현직원 · 4****** · 경영지원·관리 전문가 - 2023.08.23",2023.08.23,Rating Score4.0,“육각형의 회사”
51,"Verified User
          현직원 · a***** · 경영전략·사업기획·분석전문가 - 2023.08.20",2023.08.20,Rating Score1.0,“자유를 이름으로 한 통제가 가득한 곳”
52,"Verified User
          현직원 · 빗*** · IT 엔지니어 - 2023.08.18",2023.08.18,Rating Score3.0,“다닐만한 회사”
53,"Verified User
          현직원 · c*** · IT 디자이너 - 2023.08.17",2023.08.17,Rating Score4.0,“워라벨 최고 워리벨 최고”
54,"Verified User
          현직원 · S***** · IT 엔지니어 - 2023.08.15",2023.08.15,Rating Score4.0,“계약직은 별로”
55,"Verified User
          현직원 · 호***** · IT 엔지니어 - 2023.08.08",2023.08.08,Rating Score5.0,“최고의 회사”
56,"Verified User
          현직원 · e***** · 영업 전문가 - 2023.08.07",2023.08.07,Rating Score5.0,"“워래밸 굿, 최고의 회사”"
57,"Verified User
          현직원 · r***** · IT 엔지니어 - 2023.08.06",2023.08.06,Rating Score5.0,“좋은 복지”
58,"Verified User
          현직원 · y***** · IT 기획·매니지먼트 전문가 - 2023.08.05",2023.08.05,Rating Score3.0,“복지 좋은 회사”
59,"Verified User
          현직원 · i***** · IT 엔지니어 - 2023.08.04",2023.08.04,Rating Score4.0,“워라밸 / 사내문화 good”
60,"Verified User
          현직원 · i******* · 경영전략·사업기획·분석전문가 - 2023.07.30",2023.07.30,Rating Score3.0,“워라밸이 보장되는 회사”
61,"Verified User
          현직원 · M********* · 경영전략·사업기획·분석전문가 - 2023.07.28",2023.07.28,Rating Score5.0,“사내문화”
62,"Verified User
          현직원 · i****** · 언론인 - 2023.07.26",2023.07.26,Rating Score4.0,“우물안 개구리”
63,"Verified User
          현직원 · d********* · IT 엔지니어 - 2023.07.23",2023.07.23,Rating Score5.0,“워라밸과 복지가 좋은 회사”
64,"Verified User
          현직원 · l********* · IT 기획·매니지먼트 전문가 - 2023.07.18",2023.07.18,Rating Score4.0,“튼튼한 BM 기반 안정적인 회사”
65,"Verified User
          현직원 · X***** · 경영전략·사업기획·분석전문가 - 2023.07.18",2023.07.18,Rating Score5.0,“유연한 근무제도”
66,"Verified User
          현직원 · C***** · IT 엔지니어 - 2023.07.15",2023.07.15,Rating Score4.0,“괜찮은 회사”
67,"Verified User
          현직원 · l********* · IT 엔지니어 - 2023.07.13",2023.07.13,Rating Score4.0,“워라밸 좋습니다 만족만족!!”
68,"Verified User
          현직원 · B***** · IT 엔지니어 - 2023.07.11",2023.07.11,Rating Score3.0,“가정이 있다면 아마도 최고의 회사”
69,"Verified User
          현직원 · N********* · IT 엔지니어 - 2023.07.11",2023.07.11,Rating Score3.0,“편하지만 위험해”
70,"Verified User
          현직원 · b**** · IT 엔지니어 - 2023.07.08",2023.07.08,Rating Score4.0,“적당한 월급과 적당한 일거리 ...타 직장에 비해 적당한 장점이 많은편 ”
71,"Verified User
          현직원 · !******** · IT 엔지니어 - 2023.07.07",2023.07.07,Rating Score2.0,“자기발전만 포기한다면 최고의 캐시카우”
