,info,date,rating,title
0,"Verified User
          현직원 · 1******** · 금융상담·관리 전문가 - 2023.11.24",2023.11.24,Rating Score2.0,“뭐 하나 잘난 게 없는 회사”
1,"Verified User
          현직원 · i******** · 경영전략·사업기획·분석전문가 - 2023.11.26",2023.11.26,Rating Score1.0,“ 침몰하는 회사”
2,"Verified User
          현직원 · d****** · 금융상담·관리 전문가 - 2023.11.24",2023.11.24,Rating Score4.0,“네임벨류만큼은 자랑스러운 회사”
3,"Verified User
          현직원 · d****** · 금융상담·관리 전문가 - 2023.11.23",2023.11.23,Rating Score2.0,“하향평준화를 원한다면 기업은행으로”
4,"Verified User
          현직원 · C***** · 금융상담·관리 전문가 - 2023.11.22",2023.11.22,Rating Score4.0,“합병된적없어서 그나마 직원관계좋음 ”
5,"Verified User
          현직원 · w******** · 금융상담·관리 전문가 - 2023.11.20",2023.11.20,Rating Score1.0,"“시중은행 업무에, 공공기관 월급”"
6,"Verified User
          현직원 · 에**** · 금융상담·관리 전문가 - 2023.11.18",2023.11.18,Rating Score1.0,“회사놀이하는곳”
7,"Verified User
          현직원 · 0********* · 금융상담·관리 전문가 - 2023.11.18",2023.11.18,Rating Score3.0,“나만 생각하는 이기적인(개인주의 아님) 사람에게 최고임”
8,"Verified User
          현직원 · l********* · 마케팅·홍보 전문가 - 2023.11.18",2023.11.18,Rating Score5.0,“공무원의 단점만 뽑아 금융권에 적용시킨 회사”
9,"Verified User
          현직원 · ㅐ** · IT 기획·매니지먼트 전문가 - 2023.11.16",2023.11.16,Rating Score3.0,“적당히 일한만큼 벌기좋은회사”
10,"Verified User
          현직원 · o******* · 고객상담 전문가 - 2023.11.16",2023.11.16,Rating Score3.0,“생각보다 실속이 없는 회사”
11,"Verified User
          현직원 · 포****** · 금융상담·관리 전문가 - 2023.11.13",2023.11.13,Rating Score1.0,“시간이 갈수록 실질임금이 줄어드는 회사”
12,"Verified User
          현직원 · I********* · 금융상담·관리 전문가 - 2023.11.10",2023.11.10,Rating Score4.0,“워라벨 보장되고 실적압박없는 은행”
