,info,date,rating,title
0,"Verified User
          현직원 · C***** · 경영전략·사업기획·분석전문가 - 2023.07.24",2023.07.24,Rating Score2.0,“도태하는 회사”
1,"Verified User
          현직원 · l********* · 영업 전문가 - 2023.11.27",2023.11.27,Rating Score1.0,“아직도 이런 군대가 있나 싶다”
2,"Verified User
          현직원 · l***** · 금융상담·관리 전문가 - 2023.11.15",2023.11.15,Rating Score5.0,“다 보통임”
3,"Verified User
          현직원 · l********* · 영업 전문가 - 2023.10.31",2023.10.31,Rating Score5.0,“혁신하는 회사”
4,"Verified User
          현직원 · o***** · 경영지원·관리 전문가 - 2023.10.10",2023.10.10,Rating Score5.0,“전통이 있는 회사”
5,"Verified User
          현직원 · o******** · 영업 전문가 - 2023.10.10",2023.10.10,Rating Score3.0,“워라벨 보장”
6,"Verified User
          현직원 · w***** · 경영지원·관리 전문가 - 2023.10.09",2023.10.09,Rating Score4.0,“워라밸과 적정급여가 보장되는 회사”
7,"Verified User
          현직원 · F***** · 영업 전문가 - 2023.10.05",2023.10.05,Rating Score4.0,“복지가 과거에 머물러있음”
8,"Verified User
          현직원 · z****** · 상품기획·MD·디자이너 - 2023.09.22",2023.09.22,Rating Score5.0,“생각보다 보수적이지만. 대기업다운 젠틀함이 있다”
9,"Verified User
          현직원 · l********* · 영업 전문가 - 2023.09.21",2023.09.21,Rating Score4.0,“내몫만 잘하면 됨”
10,"Verified User
          현직원 · p**** · 금융상담·관리 전문가 - 2023.09.10",2023.09.10,Rating Score4.0,“대기업은 대기업”
11,"Verified User
          현직원 · h***** · 경영지원·관리 전문가 - 2023.09.03",2023.09.03,Rating Score4.0,“점점 좋아지는 회사”
12,"Verified User
          현직원 · t********* · 회계·세무·재무 전문가 - 2023.08.30",2023.08.30,Rating Score4.0,“직원 성장에 진심인 회사”
13,"Verified User
          현직원 · A***** · 해외영업·사업개발·마케팅 - 2023.08.30",2023.08.30,Rating Score4.0,“대기업은 무시못하지”
14,"Verified User
          현직원 · B***** · 경영지원·관리 전문가 - 2023.08.22",2023.08.22,Rating Score3.0,“평범하게 다닐만한 곳 ”
15,"Verified User
          현직원 · a***** · 영업 전문가 - 2023.08.19",2023.08.19,Rating Score4.0,“누구나 알아주는 회사”
16,"Verified User
          현직원 · e***** · 경영전략·사업기획·분석전문가 - 2023.08.18",2023.08.18,Rating Score3.0,“업계 1위지만 중간 정도인 회사”
17,"Verified User
          현직원 · W***** · 경영지원·관리 전문가 - 2023.08.14",2023.08.14,Rating Score5.0,“여성존중 여성복지 회사”
18,"Verified User
          현직원 · T***** · 금융상담·관리 전문가 - 2023.08.12",2023.08.12,Rating Score3.0,“회사에 기대없이 다녀야함”
19,"Verified User
          현직원 · p***** · 회계·세무·재무 전문가 - 2023.08.11",2023.08.11,Rating Score3.0,“무난무난한 보험회사”
20,"Verified User
          현직원 · 루**** · 회계·세무·재무 전문가 - 2023.08.10",2023.08.10,Rating Score3.0,“대체로 워라밸이 되는 회사”
21,"Verified User
          현직원 · T***** · 경영지원·관리 전문가 - 2023.08.09",2023.08.09,Rating Score4.0,"“배울 점 많다, 급여는 살짝 아쉽”"
22,"Verified User
          현직원 · j***** · 금융상담·관리 전문가 - 2023.08.05",2023.08.05,Rating Score4.0,“연봉 나쁘지 않음”
23,"Verified User
          현직원 · h***** · 경영지원·관리 전문가 - 2023.07.31",2023.07.31,Rating Score5.0,“여직원복지최고”
24,"Verified User
          현직원 · w********* · 금융상담·관리 전문가 - 2023.07.28",2023.07.28,Rating Score4.0,“자기 할 일만 잘해선 안됨”
25,"Verified User
          현직원 · s******* · IT 기획·매니지먼트 전문가 - 2023.07.27",2023.07.27,Rating Score4.0,“전형적인 보험 대기업”
26,"Verified User
          현직원 · q***** · 영업 전문가 - 2023.07.26",2023.07.26,Rating Score5.0,“업계 1위 답게 안정적인 회사”
27,"Verified User
          현직원 · G***** · IT 엔지니어 - 2023.07.19",2023.07.19,Rating Score4.0,“변화하려고 노력하는 회사”
28,"Verified User
          현직원 · !******* · 금융상담·관리 전문가 - 2023.07.14",2023.07.14,Rating Score2.0,“10년전에 비하면 좋아졌지만 늙은이들이 너무 많음”
