,info,date,rating,title
0,"Verified User
          현직원 · J***** · IT 엔지니어 - 2023.08.17",2023.08.17,Rating Score1.0,“미래는 절대 없는 회사”
1,"Verified User
          현직원 · e***** · 마케팅·홍보 전문가 - 2023.11.28",2023.11.28,Rating Score4.0,“좋은회사인데 운이좋아야 좋은 회사”
2,"Verified User
          현직원 · l******** · IT 엔지니어 - 2023.11.28",2023.11.28,Rating Score4.0,“각종 규제와 삼성그룹의 영향력으로 새로운 시도가 어려운 회사”
3,"Verified User
          현직원 · T***** · 금융상담·관리 전문가 - 2023.11.26",2023.11.26,Rating Score5.0,“평생다니고싶은회사”
4,"Verified User
          현직원 · R***** · 마케팅·홍보 전문가 - 2023.11.21",2023.11.21,Rating Score4.0,“돈은 많이주는회사”
5,"Verified User
          현직원 · 집***** · 영업 전문가 - 2023.11.19",2023.11.19,Rating Score3.0,“조용히일만해야되는회사”
6,"Verified User
          현직원 · E****** · 경영지원·관리 전문가 - 2023.11.19",2023.11.19,Rating Score5.0,“고연봉 좋은복지”
7,"Verified User
          현직원 · o***** · IT 기획·매니지먼트 전문가 - 2023.11.16",2023.11.16,Rating Score4.0,"“금융권, 삼성”"
8,"Verified User
          현직원 · V***** · 고객상담 전문가 - 2023.11.13",2023.11.13,Rating Score4.0,“좋은회사”
9,"Verified User
          현직원 · |******** · 금융상담·관리 전문가 - 2023.11.06",2023.11.06,Rating Score4.0,“부바부이나 워라벨 보장 가능에 문화 괜찮은 편”
10,"Verified User
          현직원 · q********* · 경영지원·관리 전문가 - 2023.11.04",2023.11.04,Rating Score5.0,“이정도면 정말 괜찮은 회사”
11,"Verified User
          현직원 · P***** · 경영지원·관리 전문가 - 2023.10.30",2023.10.30,Rating Score2.0,“다니면서 만족하기 힘든회사”
12,"Verified User
          현직원 · W***** · 금융상담·관리 전문가 - 2023.10.24",2023.10.24,Rating Score3.0,“부서뽑기만 잘하면 다니기 좋은 회사”
