,info,date,rating,title
0,"Verified User
          현직원 · P***** · 생산엔지니어·생산관리 - 2023.07.28",2023.07.28,Rating Score2.0,“한만큼  돈버는 회사”
1,"Verified User
          현직원 · 에** · 건설 엔지니어 - 2023.11.15",2023.11.15,Rating Score5.0,“그냥 좋은 회사”
2,"Verified User
          현직원 · k******** · 해외영업·사업개발·마케팅 - 2023.10.30",2023.10.30,Rating Score4.0,“사내분위기 좋은 성장중인회사”
3,"Verified User
          현직원 · 일*** · 생산엔지니어·생산관리 - 2023.10.09",2023.10.09,Rating Score5.0,“하는만큼 벌어가는 회사”
4,"Verified User
          현직원 · m***** · 생산엔지니어·생산관리 - 2023.10.03",2023.10.03,Rating Score3.0,“미래가 보이는 회사”
5,"Verified User
          현직원 · s**** · 경영지원·관리 전문가 - 2023.09.17",2023.09.17,Rating Score3.0,“성장하는 회사?”
6,"Verified User
          현직원 · P***** · 마케팅·홍보 전문가 - 2023.09.09",2023.09.09,Rating Score5.0,“회식이 즐거운 회사”
7,"Verified User
          현직원 · a******** · 연구개발(R&D) - 2023.09.08",2023.09.08,Rating Score5.0,"“워라밸 보장, 급여 우수”"
8,"Verified User
          현직원 · O***** · 생산엔지니어·생산관리 - 2023.08.07",2023.08.07,Rating Score3.0,“출근 빠르고 퇴근 빠른데 가끔 눈치 봐야함”
9,"Verified User
          현직원 · W***** · 연구개발(R&D) - 2023.07.26",2023.07.26,Rating Score3.0,“아직은 부족한 회사”
10,"Verified User
          현직원 · c***** · 생산엔지니어·생산관리 - 2023.07.03",2023.07.03,Rating Score5.0,"“성장하는 회사, 더 성장할 회사”"
11,"Verified User
          현직원 · M***** · 회계·세무·재무 전문가 - 2023.06.01",2023.06.01,Rating Score5.0,“보상이 괜찮은 회사”
12,"Verified User
          현직원 · a******* · 경영지원·관리 전문가 - 2023.06.01",2023.06.01,Rating Score4.0,“앞으로가 기대되는 회사”
13,"Verified User
          현직원 · 일**** · 건설 엔지니어 - 2023.05.30",2023.05.30,Rating Score4.0,“좋은 회사 이다.”
