,info,date,rating,title
0,"Verified User
          현직원 · d****** · 회계·세무·재무 전문가 - 2023.05.16",2023.05.16,Rating Score2.0,“그저그런 회사 그저그런 보상”
1,"Verified User
          현직원 · !********* · 영업 전문가 - 2023.11.23",2023.11.23,Rating Score3.0,"“부하의 공은 상사의 것, 상사의 실수는 부하의 책임”"
2,"Verified User
          현직원 · w****** · 경영전략·사업기획·분석전문가 - 2023.11.23",2023.11.23,Rating Score3.0,“돈으로 모든걸 보상하려했지만 이젠 그마저도...”
3,"Verified User
          현직원 · 킴** · 해외영업·사업개발·마케팅 - 2023.11.06",2023.11.06,Rating Score1.0,“경영진의 오너 놀이”
4,"Verified User
          현직원 · p***** · 해외영업·사업개발·마케팅 - 2023.11.02",2023.11.02,Rating Score3.0,“모그룹에 의한 흔들림 심함”
5,"Verified User
          현직원 · 🔥***** · 해외영업·사업개발·마케팅 - 2023.11.01",2023.11.01,Rating Score3.0,“정신줄 놓고 다니면 괜찮은 회사”
6,"Verified User
          현직원 · 내****** · 해외영업·사업개발·마케팅 - 2023.09.20",2023.09.20,Rating Score4.0,“일복터진회사”
7,"Verified User
          현직원 · i******** · 해외영업·사업개발·마케팅 - 2023.09.13",2023.09.13,Rating Score3.0,“뭐라해야 좋을지 모르겠는 회사”
8,"Verified User
          현직원 · n******** · 경영지원·관리 전문가 - 2023.09.13",2023.09.13,Rating Score3.0,“송도 살면 그냥 생각없이 다닐만하다”
9,"Verified User
          현직원 · l******** · 영업 전문가 - 2023.09.10",2023.09.10,Rating Score3.0,“마이웨이로 가면 챙길거 많은 회사”
10,"Verified User
          현직원 · 노***** · 회계·세무·재무 전문가 - 2023.08.23",2023.08.23,Rating Score4.0,“워라밸이 보장되는 회사”
11,"Verified User
          현직원 · j***** · 영업 전문가 - 2023.08.21",2023.08.21,Rating Score4.0,“급여 만족 대비 조직문화 개선여지 없음”
12,"Verified User
          현직원 · x***** · 마케팅·홍보 전문가 - 2023.08.13",2023.08.13,Rating Score4.0,“그냥 회사”
13,"Verified User
          현직원 · !******** · 영업 전문가 - 2023.07.26",2023.07.26,Rating Score5.0,“최근엔 워라벨도 어느정도 보장되고 급여도 좋은 편”
14,"Verified User
          현직원 · f***** · 마케팅·홍보 전문가 - 2023.07.12",2023.07.12,Rating Score3.0,“대기업인듯 아닌듯한 회사”
15,"Verified User
          현직원 · g***** · 해외영업·사업개발·마케팅 - 2023.07.03",2023.07.03,Rating Score5.0,“다니기 괜찮은 회사”
16,"Verified User
          현직원 · i******* · 구매·물류·SCM 전문가 - 2023.07.03",2023.07.03,Rating Score3.0,“연봉은 ㅇㅈ”
17,"Verified User
          현직원 · l***** · 해외영업·사업개발·마케팅 - 2023.07.02",2023.07.02,Rating Score4.0,“해외사업 경험하기 좋은 회사”
18,"Verified User
          현직원 · !***** · 구매·물류·SCM 전문가 - 2023.06.28",2023.06.28,Rating Score5.0,“막 좋지는 않은데 그렇다고 나쁘진 않음”
19,"Verified User
          현직원 · h***** · IT 엔지니어 - 2023.06.23",2023.06.23,Rating Score4.0,“워라벨은 보장되나 정치판임”
20,"Verified User
          현직원 · W***** · 구매·물류·SCM 전문가 - 2023.06.20",2023.06.20,Rating Score3.0,“일 배우기엔 좋음”
21,"Verified User
          현직원 · p******** · 영업 전문가 - 2023.06.15",2023.06.15,Rating Score5.0,“성장하기 좋은 회사”
22,"Verified User
          현직원 · u***** · 영업 전문가 - 2023.06.04",2023.06.04,Rating Score4.0,“일빡셈 / 불안정함 / 사대리 한정 돈 ㄱㅊ/ 정치질 개심함 / 사람들이 불친절함”
23,"Verified User
          현직원 · X***** · 해외영업·사업개발·마케팅 - 2023.05.31",2023.05.31,Rating Score5.0,“주니어들이 성장하기엔 좋은 회사”
24,"Verified User
          현직원 · 구** · 영업 전문가 - 2023.05.25",2023.05.25,Rating Score4.0,“초반 일배우기 좋은 회사”
