,info,date,rating,title
0,"Verified User
          현직원 · C***** · IT 기획·매니지먼트 전문가 - 2023.10.24",2023.10.24,Rating Score2.0,“삶의 균형이 없는 회사”
1,"Verified User
          현직원 · u********* · 경영지원·관리 전문가 - 2023.11.27",2023.11.27,Rating Score3.0,“회사는 성장하는데 워라밸과 급여는 상대적으로 별로인”
2,"Verified User
          현직원 · i********* · 마케팅·홍보 전문가 - 2023.11.26",2023.11.26,Rating Score3.0,“워커홀릭이면 너무 좋을 회사”
3,"Verified User
          현직원 · p***** · 마케팅·홍보 전문가 - 2023.11.25",2023.11.25,Rating Score4.0,“비교적 큰규모의 커리어 경험이 가능한 곳”
4,"Verified User
          현직원 · h******** · 경영전략·사업기획·분석전문가 - 2023.11.25",2023.11.25,Rating Score3.0,“겉만 번지르”
5,"Verified User
          현직원 · N***** · 마케팅·홍보 전문가 - 2023.11.23",2023.11.23,Rating Score3.0,“엔터업을 정말 좋아한다면야..”
6,"Verified User
          현직원 · b***** · 상품기획·MD·디자이너 - 2023.11.20",2023.11.20,Rating Score3.0,“나쁘지 않은 회사”
7,"Verified User
          전직원 · N***** · 경영지원·관리 전문가 - 2023.11.20",2023.11.20,Rating Score1.0,“경력에서 지워버리고 싶은 회사”
8,"Verified User
          현직원 · n**** · 영업 전문가 - 2023.11.17",2023.11.17,Rating Score3.0,“자아 없이 다니기 좋음”
9,"Verified User
          현직원 · q********* · 해외영업·사업개발·마케팅 - 2023.11.10",2023.11.10,Rating Score4.0,“워라밸은 없어도 재택은 있다 이제 없다”
10,"Verified User
          현직원 · a******* · 해외영업·사업개발·마케팅 - 2023.11.07",2023.11.07,Rating Score3.0,“일중독자들만 와야 하는 회사”
11,"Verified User
          현직원 · l******* · 상품기획·MD·디자이너 - 2023.11.01",2023.11.01,Rating Score4.0,“나쁘지않은 회사”
12,"Verified User
          현직원 · z********* · 경영전략·사업기획·분석전문가 - 2023.11.01",2023.11.01,Rating Score5.0,“역성장 시대 고성장 ”
13,"Verified User
          현직원 · w***** · IT 기획·매니지먼트 전문가 - 2023.10.28",2023.10.28,Rating Score1.0,“껍데기만 화려한 회사 / 사상누각”
14,"Verified User
          현직원 · p****** · 해외영업·사업개발·마케팅 - 2023.10.27",2023.10.27,Rating Score1.0,“리더가 없는 회사”
15,"Verified User
          현직원 · 0******** · IT 기획·매니지먼트 전문가 - 2023.10.25",2023.10.25,Rating Score4.0,“팀바팀 실바실 부바부”
16,"Verified User
          현직원 · l***** · 경영전략·사업기획·분석전문가 - 2023.10.19",2023.10.19,Rating Score2.0,“라인만 잘타면 최고의 회사”
17,"Verified User
          현직원 · U***** · 상품기획·MD·디자이너 - 2023.10.16",2023.10.16,Rating Score3.0,“하차감이 좋은회사”
18,"Verified User
          현직원 · N***** · IT 기획·매니지먼트 전문가 - 2023.10.13",2023.10.13,Rating Score2.0,“덩치 큰 스타트업 ”
19,"Verified User
          현직원 · i********* · 마케팅·홍보 전문가 - 2023.10.13",2023.10.13,Rating Score4.0,“성장의 기회는 많지만 워라벨이”
20,"Verified User
          현직원 · U***** · 상품기획·MD·디자이너 - 2023.10.10",2023.10.10,Rating Score4.0,“커리어 방점 한줄 찍을 수 있는 회사”
21,"Verified User
          현직원 · l******* · 경영전략·사업기획·분석전문가 - 2023.10.04",2023.10.04,Rating Score4.0,“커리어 향상에 좋은 회사”
22,"Verified User
          현직원 · S***** · IT 기획·매니지먼트 전문가 - 2023.10.03",2023.10.03,Rating Score5.0,“앞으로의 성장세가 더욱 기대되는 곳”
23,"Verified User
          현직원 · R***** · 상품기획·MD·디자이너 - 2023.09.22",2023.09.22,Rating Score5.0,“새로운게 많은 회사”
24,"Verified User
          현직원 · 라***** · 상품기획·MD·디자이너 - 2023.09.13",2023.09.13,Rating Score4.0,“부바부 케바케 심한 회사”
25,"Verified User
          현직원 · A***** · IT 디자이너 - 2023.09.11",2023.09.11,Rating Score4.0,“혁신의 기로에 놓인 엔터업계 대장주”
