,info,date,rating,title
0,"Verified User
          현직원 · z***** · 경영전략·사업기획·분석전문가 - 2023.11.26",2023.11.26,Rating Score1.0,“장점이 없다”
1,"Verified User
          현직원 · 양********* · 고객서비스 전문가 - 2023.11.23",2023.11.23,Rating Score4.0,“경영진만 노력”
2,"Verified User
          현직원 · l********* · 건설 엔지니어 - 2023.11.23",2023.11.23,Rating Score2.0,“일 겁나시키는데 급여가 영....”
3,"Verified User
          현직원 · R***** · 조선·해양 엔지니어 - 2023.11.20",2023.11.20,Rating Score3.0,“미혼이라면 비추”
4,"Verified User
          현직원 · y******** · 경영지원·관리 전문가 - 2023.11.15",2023.11.15,Rating Score3.0,“워라벨 보장 부바부 ”
5,"Verified User
          현직원 · i******** · 조선·해양 엔지니어 - 2023.11.14",2023.11.14,Rating Score5.0,“한화그룹이 밀어주고 있어 미래가 기대되는 회사”
6,"Verified User
          전직원 · h***** · 조선·해양 엔지니어 - 2023.11.11",2023.11.11,Rating Score2.0,“워라벨 괜찮은 회사”
7,"Verified User
          현직원 · T***** · 경영전략·사업기획·분석전문가 - 2023.11.10",2023.11.10,Rating Score3.0,“미래가 궁금해지는 회사”
8,"Verified User
          현직원 · k***** · 경영전략·사업기획·분석전문가 - 2023.11.08",2023.11.08,Rating Score2.0,“수평적인 기업문화는 좋으나 업무 대비 처우가 매우 낮음”
9,"Verified User
          현직원 · F***** · 연구개발(R&D) - 2023.11.07",2023.11.07,Rating Score3.0,“그룹사”
10,"Verified User
          현직원 · d***** · 연구개발(R&D) - 2023.11.07",2023.11.07,Rating Score3.0,“근무지마다 워라밸이 조금씩 다름. 미래가 기대되는 회사. ”
11,"Verified User
          전직원 · u***** · 조선·해양 엔지니어 - 2023.11.06",2023.11.06,Rating Score5.0,“인생경험 쌓기 좋은 회사”
12,"Verified User
          현직원 · 0**** · 건설 엔지니어 - 2023.11.06",2023.11.06,Rating Score3.0,“회사명 대비 많은 변화가 필요...”
13,"Verified User
          현직원 · 궁***** · 생산엔지니어·생산관리 - 2023.11.03",2023.11.03,Rating Score4.0,“부바부 심한회사”
14,"Verified User
          현직원 · V***** · 조선·해양 엔지니어 - 2023.10.30",2023.10.30,Rating Score3.0,“돈 빼고는 좋은회사”
15,"Verified User
          현직원 · O***** · 조선·해양 엔지니어 - 2023.10.22",2023.10.22,Rating Score3.0,“워라밸만 보장되었던 회사..이제는?”
16,"Verified User
          전직원 · X***** · 연구개발(R&D) - 2023.10.22",2023.10.22,Rating Score1.0,“휴무는 많으나 연봉 박봉”
17,"Verified User
          현직원 · 삑* · 고객서비스 전문가 - 2023.10.20",2023.10.20,Rating Score2.0,“워라밸만 좋음”
18,"Verified User
          현직원 · i********* · 조선·해양 엔지니어 - 2023.10.19",2023.10.19,Rating Score4.0,“한화 합병이후 무궁무진한 성장 가능성이 있는 회사 입니다”
19,"Verified User
          현직원 · S***** · 조선·해양 엔지니어 - 2023.10.18",2023.10.18,Rating Score3.0,“워라밸은 좋아요”
20,"Verified User
          현직원 · e***** · 경영지원·관리 전문가 - 2023.10.18",2023.10.18,Rating Score3.0,“워라벨로따지면최고인회사”
21,"Verified User
          현직원 · 벌******* · 생산엔지니어·생산관리 - 2023.10.14",2023.10.14,Rating Score5.0,“거제토박이 입장에선 다닐만한듯”
22,"Verified User
          현직원 · 그*** · 조선·해양 엔지니어 - 2023.10.12",2023.10.12,Rating Score3.0,“당장은 워라밸 원툴”
23,"Verified User
          현직원 · 꾸****** · 구매·물류·SCM 전문가 - 2023.10.07",2023.10.07,Rating Score3.0,“딱 워라벨만 보장해주는 회사”
24,"Verified User
          현직원 · k****** · 경영지원·관리 전문가 - 2023.10.02",2023.10.02,Rating Score3.0,“좋은 사내 분위기였지만 한화 오고 ㅠㅠ”
25,"Verified User
          현직원 · J***** · 생산엔지니어·생산관리 - 2023.10.01",2023.10.01,Rating Score3.0,“네임벨류는 대기업이나 실상은 중소 or 중견”
26,"Verified User
          현직원 · 한** · 생산엔지니어·생산관리 - 2023.09.26",2023.09.26,Rating Score1.0,“오지마”
27,"Verified User
          현직원 · N***** · 생산엔지니어·생산관리 - 2023.09.20",2023.09.20,Rating Score1.0,“워라벨은 좋음”
28,"Verified User
          현직원 · l********* · 조선·해양 엔지니어 - 2023.09.20",2023.09.20,Rating Score5.0,“나름 만족하고 다닐만한회사”
29,"Verified User
          현직원 · F***** · 품질관리·보증 전문가 - 2023.09.19",2023.09.19,Rating Score1.0,“망한 회사”
30,"Verified User
          현직원 · V***** · 경영지원·관리 전문가 - 2023.09.15",2023.09.15,Rating Score1.0,“겉보기에는 좋아보일지도 모르는 회사”
31,"Verified User
          현직원 · H****** · 조선·해양 엔지니어 - 2023.09.13",2023.09.13,Rating Score1.0,“개인 능력향상에는 좋음”
32,"Verified User
          현직원 · 한**** · 조선·해양 엔지니어 - 2023.09.13",2023.09.13,Rating Score3.0,“워라벨이 보장되는 회사”
33,"Verified User
          현직원 · G***** · 조선·해양 엔지니어 - 2023.09.13",2023.09.13,Rating Score3.0,“미래가 너무 불투명한 회사”
34,"Verified User
          현직원 · 간****** · 조선·해양 엔지니어 - 2023.09.12",2023.09.12,Rating Score3.0,“신입이 다니기엔 좋은 회사”
35,"Verified User
          현직원 · 찰**** · 조선·해양 엔지니어 - 2023.09.11",2023.09.11,Rating Score4.0,“저연차에 많은 권한과 책임을 주는 회사”
36,"Verified User
          현직원 · 딴***** · 조선·해양 엔지니어 - 2023.09.06",2023.09.06,Rating Score2.0,“아직 멀었다..”
37,"Verified User
          현직원 · 한**** · 생산엔지니어·생산관리 - 2023.08.30",2023.08.30,Rating Score3.0,“미래가 걱정되는 회사”
38,"Verified User
          현직원 · e***** · 구매·물류·SCM 전문가 - 2023.08.27",2023.08.27,Rating Score3.0,“아쉬움이 있는 회사”
