,info,date,rating,title
0,"Verified User
          현직원 · s******** · 마케팅·홍보 전문가 - 2023.10.14",2023.10.14,Rating Score2.0,신입이 없고 위만 많은 회사
1,"Verified User
          현직원 · J****** · 건설 엔지니어 - 2023.11.13",2023.11.13,Rating Score5.0,좋은 회사입니다.
2,"Verified User
          현직원 · 이***** · 건설 엔지니어 - 2023.11.10",2023.11.10,Rating Score3.0,기본급이 낮음
3,"Verified User
          현직원 · F***** · 건설 엔지니어 - 2023.11.08",2023.11.08,Rating Score5.0,업계 1위
4,"Verified User
          현직원 · H***** · IT 엔지니어 - 2023.10.31",2023.10.31,Rating Score4.0,"적당히 좋은 회사, 하지만 더 좋은 회사는 없을 듯"
5,"Verified User
          현직원 · l******** · 환경·안전·보건 전문가 - 2023.10.30",2023.10.30,Rating Score5.0,대기업
6,"Verified User
          현직원 · j***** · 건설 엔지니어 - 2023.10.29",2023.10.29,Rating Score4.0,현장에서는 워라밸 없음
7,"Verified User
          현직원 · W***** · 상품기획·MD·디자이너 - 2023.10.26",2023.10.26,Rating Score4.0,"겉으로는 행복해 보이는, 속으로는 썩어있지만.."
8,"Verified User
          현직원 · ¡********* · 건설 엔지니어 - 2023.10.25",2023.10.25,Rating Score4.0,좋은 회사
9,"Verified User
          현직원 · I***** · 건설 엔지니어 - 2023.10.25",2023.10.25,Rating Score3.0,워라밸은 나쁜데 처우 등은 시공사 중에선 좋음
10,"Verified User
          현직원 · B***** · 건설 엔지니어 - 2023.10.24",2023.10.24,Rating Score4.0,그래도 이만한 회사 어디 없는..
11,"Verified User
          현직원 · I***** · 건설 엔지니어 - 2023.10.22",2023.10.22,Rating Score5.0,챙겨줄 건 챙겨주는 회사
12,"Verified User
          현직원 · 노**** · 상품기획·MD·디자이너 - 2023.10.22",2023.10.22,Rating Score4.0,워라밸 보장
13,"Verified User
          현직원 · T***** · 영업 전문가 - 2023.10.20",2023.10.20,Rating Score5.0,나한텐 만족스러운 회사
